"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.03.2026",8.8,11.6,10.8661222222222,0,0
"22.03.2026",8.8,10.4,10,0,0
"23.03.2026",9,14,10.8420722222222,0,0
"24.03.2026",9,16.6,10.1892138888889,0,0
"25.03.2026",3.1,10.1,10.7231611111111,3.2,11
"26.03.2026",7.2,9.4,11.5113611111111,0.9,0
"27.03.2026",8.2,10.8,11.5563083333333,0,0
"28.03.2026",7.6,12.6,9.40688055555555,0.9,0
"29.03.2026",7,10.7,6.33783333333333,1.3,0
"30.03.2026",8.2,8.1,10.6682805555556,0,0
"31.03.2026",8.2,9.5,11.7608555555556,0,0
