"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"11.11.2025",7,11.5,0.561208333333333,0.2,0
"12.11.2025",8.4,13.8,7.61565277777778,0,0
"13.11.2025",8.4,16.1,7.168225,0.3,0
"14.11.2025",2.2,12.7,0,6.8,8
"15.11.2025",2.3,6,0,9.6,6
"16.11.2025",6.6,4.9,4.9126,0,0
"17.11.2025",6.6,5.8,3.24171944444444,1.3,0
"18.11.2025",7.4,5.8,7.13422222222222,0,0
"19.11.2025",7.2,3.8,7.19034166666667,0.1,0
"20.11.2025",7,3.8,7.06915555555556,0.8,0
"21.11.2025",5.6,1.3,0,2.9,0
