"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"19.03.2026",8.8,14.8,9.89410277777778,0,0
"20.03.2026",8,8.2,5.47538611111111,0,0
"21.03.2026",8.8,12.3,10.9742583333333,0,0
"22.03.2026",9,14.2,10.7042611111111,0,0
"23.03.2026",7.4,11.7,2.20100833333333,0,0
"24.03.2026",5.8,12.6,0.502547222222222,0.6,0
"25.03.2026",6,13.1,0,0.9,0
"26.03.2026",6.4,6.3,11.32675,0.3,3
"27.03.2026",7.8,8.2,11.4141111111111,0,0
"28.03.2026",7,6,9.343725,0.6,0
"29.03.2026",7,8.3,11.3212555555556,0.7,0
