"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",8.6,15.0142857142857,9.93581150793651,5,0.7
"München","Deutschland :de:",8.2,12.6428571428571,9.56729365079365,5,3.7
"Hamburg","Deutschland :de:",8.37142857142857,13.4285714285714,9.42393809523809,6,0.9
"Köln","Deutschland :de:",7.17142857142857,13.7142857142857,8.00235515873016,2,14.4
"Dresden","Deutschland :de:",8.45714285714286,14.6428571428571,9.06841587301587,5,2.7
"Leipzig","Deutschland :de:",8.6,15.0285714285714,9.98067063492064,6,1.2
"Frankfurt am Main","Deutschland :de:",8.57142857142857,14.3285714285714,9.63678412698413,5,1.8
"Freiburg im Breisgau","Deutschland :de:",8.2,13.2714285714286,9.19893888888889,3,3.1
"Berchtesgaden","Deutschland :de:",7.97142857142857,12.1142857142857,9.2177503968254,4,5.9
"Garmisch-Partenkirchen","Deutschland :de:",7.71428571428571,11.4857142857143,9.79981071428571,3,6.1
"Binz (Rügen)","Deutschland :de:",8.02857142857143,10.4714285714286,8.22053214285714,5,0.8
"Heringsdorf (Usedom)","Deutschland :de:",8.37142857142857,11.3285714285714,8.57078293650794,7,0
"Westerland (Sylt)","Deutschland :de:",6.54285714285714,5.71428571428571,4.71270793650794,2,14.1
"Wernigerode (Harz)","Deutschland :de:",8.31428571428571,12.9857142857143,10.3298492063492,4,2.8
"Cochem (Mosel)","Deutschland :de:",7.51428571428571,13.3571428571429,6.94865515873016,2,10.1
"Kempten (Allgäu)","Deutschland :de:",7.88571428571429,11.5142857142857,9.17433373015873,4,6.7
"Nürnberg","Deutschland :de:",8.31428571428571,14.2714285714286,9.18449484126984,5,3.6
"Münster","Deutschland :de:",7.22857142857143,13.2142857142857,8.88993531746032,1,20.4
"Stuttgart","Deutschland :de:",8.22857142857143,13.9571428571429,9.85213134920635,5,5.4
"Norderney","Deutschland :de:",6.54285714285714,7.61428571428571,5.77833333333333,2,17.8
"Erfurt","Deutschland :de:",8.57142857142857,14,10.1916218253968,5,0.9
"Bremen","Deutschland :de:",8.17142857142857,13.1,8.42599087301587,6,1.2
"Timmendorfer Strand","Deutschland :de:",8.34285714285714,12.5285714285714,9.51579801587302,6,0.6
"Karlsbad","Tschechien :cz:",8.2,12.9285714285714,9.40851825396825,5,4.1
"Enschede","Niederlande :nl:",7.02857142857143,12.5428571428571,6.31570476190476,2,12.2
"Pilsen","Tschechien :cz:",8.37142857142857,13.5428571428571,9.195975,5,1.3
"Maastricht","Niederlande :nl:",6.71428571428571,13.0142857142857,6.72575833333333,0,27.4
"Giethoorn","Niederlande :nl:",6.42857142857143,11.6285714285714,4.14220833333333,2,17.6
"Groningen","Niederlande :nl:",6.54285714285714,11.3714285714286,4.56485436507937,2,19
"Eindhoven","Niederlande :nl:",7,13.0714285714286,6.49415634920635,1,12.2
"Prag","Tschechien :cz:",8.42857142857143,13.7428571428571,9.48432579365079,4,1.4
"Luxemburg","Luxemburg :lu:",7.05714285714286,11.8714285714286,7.00544682539683,0,17.4
"Straßburg","Frankreich :fr:",8.2,13.8857142857143,8.98282420634921,4,7.1
"Amsterdam","Niederlande :nl:",6.74285714285714,11.7857142857143,5.48115952380952,2,14.7
"Dinant","Belgien :be:",6.18571428571429,12.5285714285714,5.44463214285714,0,25.1
"Rotterdam","Niederlande :nl:",6.64285714285714,11.9142857142857,5.47104484126984,3,19.2
"Antwerpen","Belgien :be:",6.58571428571429,12.6714285714286,5.76547936507936,0,17.4
"Zandvoort","Niederlande :nl:",6.91428571428571,9.38571428571429,5.79663611111111,3,14
"Český Krumlov","Tschechien :cz:",8.31428571428571,12.5571428571429,10.0575658730159,5,3.3
"Terschelling","Niederlande :nl:",6.77142857142857,8.5,5.65540555555556,2,26.1
"Noordwijk","Niederlande :nl:",6.91428571428571,10.9428571428571,5.75691706349206,2,16.5
"Bergen aan Zee","Niederlande :nl:",6.74285714285714,10.3142857142857,5.49664920634921,2,20
"Nancy","Frankreich :fr:",7.82857142857143,12.6714285714286,7.32154126984127,3,4.2
"Brüssel","Belgien :be:",6.57142857142857,12.6571428571429,6.09040595238095,1,16.5
"Texel","Niederlande :nl:",6.77142857142857,9.68571428571429,5.49290158730159,1,28.5
"Scheveningen","Niederlande :nl:",6.8,10.9,5.74486031746032,2,17.9
"Fåborg","Dänemark :dk:",6.85714285714286,8.97142857142857,5.8417246031746,2,23.2
"Salzburg","Österreich :at:",8.11428571428571,13.5,9.34796388888889,4,6
"Renesse","Niederlande :nl:",6.5,11.1,5.98578095238095,1,40.3
"Linz","Österreich :at:",8.57142857142857,13.9571428571429,9.860475,6,0.5
"Zürich","Schweiz :ch:",8.05714285714286,13.5857142857143,9.50948650793651,3,9.7
"Basel","Schweiz :ch:",7.85714285714286,13.5285714285714,7.86830436507937,4,4.76
"Innsbruck","Österreich :at:",8.02857142857143,11.7285714285714,10.2015329365079,4,2
"Domburg","Niederlande :nl:",6.64285714285714,11.1857142857143,5.97398492063492,1,17.7
"Breslau","Polen :pl:",8.48571428571429,14.1714285714286,8.46897301587301,6,0.9
"Køge","Dänemark :dk:",7.4,10.0857142857143,6.18658253968254,3,5.2
"Posen","Polen :pl:",8.51428571428571,14.2,8.40061031746032,6,0.3
"Zell am See","Österreich :at:",8.17142857142857,10.6285714285714,9.98047698412698,3,2.9
"Brügge","Belgien :be:",6.75714285714286,12.5,5.71636825396825,1,11.4
"Hallstatt","Österreich :at:",8.4,12.7428571428571,10.1179849206349,6,0.3
"Luzern","Schweiz :ch:",7.91428571428571,13.1571428571429,9.34675277777778,4,8.5
"De Haan","Belgien :be:",7,11.7,6.15429166666667,1,17.5
"Ostende","Belgien :be:",6.94285714285714,11.8,6.38392698412698,0,15.5
"Kopenhagen","Dänemark :dk:",7.22857142857143,6.45714285714286,5.79295952380952,2,5.5
"Malmö","Schweden :se:",7.11428571428571,7.15714285714286,5.98100515873016,3,20.5
"Brünn","Tschechien :cz:",8.45714285714286,12.8571428571429,8.47034801587302,6,0.3
"Meran","Italien :it:",8.08571428571429,12.4428571428571,8.84989325396825,6,0.2
"Bern","Schweiz :ch:",8.11428571428571,12.7,9.33992976190476,4,3.7
"Bornholm","Dänemark :dk:",7.97142857142857,8.94285714285714,8.74618373015873,4,5.7
"Aarhus","Dänemark :dk:",6.68571428571429,8.87142857142857,3.71379801587302,3,12
"St. Moritz","Schweiz :ch:",7.05714285714286,1.52857142857143,9.51961904761905,5,2.6
"Hvide Sande","Dänemark :dk:",6.14285714285714,7.24285714285714,2.82009563492063,2,21.2
"Interlaken","Schweiz :ch:",7.6,11.3714285714286,9.39547341269841,4,11.8
"Bozen","Italien :it:",8.31428571428571,14.6714285714286,9.36024047619048,6,0.4
"Wien","Österreich :at:",8.54285714285714,13.5,9.07600079365079,6,0.5
"Dijon","Frankreich :fr:",7.74285714285714,12.6285714285714,7.95461706349206,4,8.2
"Ostrava","Tschechien :cz:",8.17142857142857,13.1285714285714,6.90739444444444,6,1.4
"Klagenfurt am Wörthersee","Österreich :at:",8.4,13.9,9.76942698412698,6,1
"Riva del Garda","Italien :it:",7.85714285714286,14.8142857142857,9.13094722222222,5,1.1
"Graz","Österreich :at:",8.57142857142857,13.4571428571429,9.8184253968254,7,0
"Le Touquet-Paris-Plage","Frankreich :fr:",7.71428571428571,11.2,7.9149119047619,4,4.9
"Bratislava","Slowakei :sk:",8.57142857142857,13.5571428571429,9.05594166666667,6,0.7
"Zermatt","Schweiz :ch:",6.3,3.5,9.63142420634921,3,7.1
"Bled","Slowenien :si:",8.11428571428571,11.8142857142857,9.97105079365079,6,0.9
"Paris","Frankreich :fr:",8,14.5285714285714,7.76740357142857,4,3.4
"Norwich","England :gb-eng:",7.57142857142857,12.1428571428571,5.8000753968254,3,6.3
"Ipswich","England :gb-eng:",7.54285714285714,11.7142857142857,6.11022857142857,3,6.9
"Katowice","Polen :pl:",8.28571428571429,12.9285714285714,8.63581150793651,6,2.4
"Torri del Benaco","Italien :it:",8.17142857142857,14.2285714285714,8.64411746031746,5,1
"Genf","Schweiz :ch:",7.68571428571429,12.1857142857143,9.46786746031746,4,10.06
"Sirmione","Italien :it:",7.88571428571429,14.6714285714286,7.51245238095238,4,2.4
"Mailand","Italien :it:",7.57142857142857,14.4285714285714,7.09765753968254,3,9.6
"Danzig","Polen :pl:",8.4,12.8571428571429,9.21512857142857,5,1.8
"Maribor","Slowenien :si:",8.34285714285714,13,8.49962142857143,6,0.4
"Ljubljana","Slowenien :si:",8.62857142857143,14.9857142857143,9.93620674603175,7,0
"Annecy","Frankreich :fr:",7.85714285714286,13.3571428571429,9.65662777777778,3,9.1
"Venedig","Italien :it:",8.31428571428571,14.2428571428571,8.79083333333333,6,0.3
"Triest","Italien :it:",8.4,12.9285714285714,10.3186956349206,7,0
"Cambridge","England :gb-eng:",7.65714285714286,12.4285714285714,7.28057420634921,3,3.9
"Krakau","Polen :pl:",8.6,13.9714285714286,9.89139007936508,5,1.8
"Skagen","Dänemark :dk:",6.74285714285714,7.71428571428571,4.12820634920635,3,13.1
"London","England :gb-eng:",7.42857142857143,12.5857142857143,7.52562380952381,2,7.2
"Göteborg","Schweden :se:",6.51428571428571,7.15714285714286,4.86697698412698,3,21.5
"Brighton","England :gb-eng:",7.08571428571429,11.6857142857143,6.68064285714286,2,8.1
