"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"29.01.2026",6.4,13,5.72568333333333,3.4,1
"30.01.2026",1.7,12.7,1.10820555555556,3.7,10
"31.01.2026",7.8,12.9,8.06165833333333,0,0
"01.02.2026",7.4,12.9,8.98693333333333,2,0
"02.02.2026",4.6,13.9,2.86771388888889,3.8,4
"03.02.2026",1,15.6,0,11.2,15
"04.02.2026",3,14.3,9.08239722222222,0.3,13
"05.02.2026",4.8,13.3,0.961116666666667,3.4,2
"06.02.2026",5,14.2,3.77894444444444,5.6,2
"07.02.2026",6.8,12.5,6.83269166666667,0.6,0
"08.02.2026",7.8,13,9.15218333333333,0,0
