"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"05.02.2026",8.2,11.7,7.96336388888889,0,0
"06.02.2026",7,12.6,4.68903888888889,0.1,1
"07.02.2026",7,11.9,5.922175,2.4,0
"08.02.2026",8.2,11.6,9.03764722222222,0,0
"09.02.2026",6.6,10.3,2.53077777777778,0.2,0
"10.02.2026",8,10.9,9.04097777777778,0,0
"11.02.2026",6.6,9.3,0.156775,0.4,0
"12.02.2026",8.2,9,9.23330833333333,0,0
"13.02.2026",8.2,9.6,9.23856111111111,0,0
"14.02.2026",8.6,13.4,9.33823333333333,0,0
"15.02.2026",8.2,11,9.26499444444445,0,0
