"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"28.01.2026",6.6,-4.7,4.29538333333333,0,0
"29.01.2026",6.4,-4.8,3.96943888888889,0,0
"30.01.2026",4.6,-6.9,0.517061111111111,0,0
"31.01.2026",4.2,-5.4,0,0,0
"01.02.2026",5,-5.9,5.58825,0,0
"02.02.2026",4.2,-6.6,0.294669444444444,0,0
"03.02.2026",4.4,-8.3,1.24975555555556,0,0
"04.02.2026",2.8,-5.5,0,5.2,0
"05.02.2026",3.6,-4,0,3.3,0
"06.02.2026",5,0.3,0,3.8,0
"07.02.2026",5.2,-0.9,0,0,0
