"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"12.12.2025",8,7.2,5.79404444444445,0,0
"13.12.2025",6.8,8.1,0,0,0
"14.12.2025",7,7.8,0.412855555555556,0,0
"15.12.2025",8,7.5,5.76224166666667,0,0
"16.12.2025",8.2,9.5,6.0061,0,0
"17.12.2025",7,9.1,2.09233611111111,0.4,0
"18.12.2025",4.8,7.2,0,5.9,0
"19.12.2025",8.2,9.3,6.007325,0,0
"20.12.2025",7.6,8.4,5.81758055555556,0,0
"21.12.2025",8,9.4,5.97583055555555,0,0
"22.12.2025",8,9.7,6.01118333333333,0,0
