"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.1,1.9,3.01142361111111,1,0.2
"München","Deutschland :de:",4.4,1.35,3.52977777777778,1,4.2
"Hamburg","Deutschland :de:",7.2,4.35,2.47559861111111,2,0
"Köln","Deutschland :de:",7,5.4,3.50969583333333,2,0
"Dresden","Deutschland :de:",6.9,2.85,3.52348055555556,2,0
"Leipzig","Deutschland :de:",7.1,2.1,3.49954305555556,2,0
"Frankfurt am Main","Deutschland :de:",7.1,4.4,2.7095,2,0
"Freiburg im Breisgau","Deutschland :de:",6.1,4,3.88822916666667,1,2.1
"Berchtesgaden","Deutschland :de:",4,0.1,3.4004125,0,6.8
"Garmisch-Partenkirchen","Deutschland :de:",4.4,1.6,3.86770138888889,1,9
"Binz (Rügen)","Deutschland :de:",7.1,4.15,2.57329861111111,1,0.2
"Heringsdorf (Usedom)","Deutschland :de:",7,3.85,2.46191527777778,1,0.8
"Westerland (Sylt)","Deutschland :de:",4.9,7.2,2.09306111111111,0,2
"Wernigerode (Harz)","Deutschland :de:",7.1,2.3,3.78089861111111,2,0
"Cochem (Mosel)","Deutschland :de:",6.8,4.7,1.36324583333333,2,0
"Kempten (Allgäu)","Deutschland :de:",4.4,0.6,3.84154722222222,1,3
"Nürnberg","Deutschland :de:",6.8,2.55,3.09807222222222,1,0.6
"Münster","Deutschland :de:",7.5,4.8,5.59810138888889,2,0
"Stuttgart","Deutschland :de:",7,4.9,4.96821111111111,1,0.8
"Norderney","Deutschland :de:",6.2,7,2.73303055555556,0,1.3
"Erfurt","Deutschland :de:",7.1,3.5,3.66128611111111,2,0
"Bremen","Deutschland :de:",6.2,3.85,0,1,1
"Timmendorfer Strand","Deutschland :de:",7.4,4.85,4.05223055555556,2,0
"Karlsbad","Tschechien :cz:",7.3,1.5,3.07280555555556,2,0
"Enschede","Niederlande :nl:",7.5,5.55,5.56601527777778,2,0
"Pilsen","Tschechien :cz:",6.9,1.8,2.82513472222222,2,0
"Maastricht","Niederlande :nl:",7.1,6.35,3.643425,1,0.2
"Giethoorn","Niederlande :nl:",6.7,6,3.21654444444444,1,0
"Groningen","Niederlande :nl:",6.6,6.15,2.83870277777778,1,0.5
"Eindhoven","Niederlande :nl:",7.2,6.2,4.37040833333333,2,0
"Prag","Tschechien :cz:",6.7,2.2,3.65248611111111,1,0.9
"Luxemburg","Luxemburg :lu:",6.9,4.4,2.53470833333333,1,0.1
"Straßburg","Frankreich :fr:",7,5.8,3.58344861111111,1,1.6
"Amsterdam","Niederlande :nl:",6.8,6.15,3.41726527777778,1,0.2
"Dinant","Belgien :be:",6.5,5.2,1.59584166666667,0,0.3
"Rotterdam","Niederlande :nl:",6.4,7.1,3.10515694444444,1,0
"Antwerpen","Belgien :be:",6.4,7.1,3.5,1,0.4
"Zandvoort","Niederlande :nl:",6.3,7.9,3.20483055555556,1,0
"Český Krumlov","Tschechien :cz:",5.45,1.15,3.66225,1,1.7
"Terschelling","Niederlande :nl:",5.65,8.5,3.02169583333333,0,0.8
"Noordwijk","Niederlande :nl:",6.2,7.65,3.17712361111111,1,0.3
"Bergen aan Zee","Niederlande :nl:",6.2,7.9,3.31328888888889,1,0.8
"Nancy","Frankreich :fr:",6.5,5.55,1.35993055555556,1,1.1
"Brüssel","Belgien :be:",7,6.35,3.68473888888889,2,0
"Texel","Niederlande :nl:",6.1,8.55,2.70715972222222,0,1
"Scheveningen","Niederlande :nl:",6.2,8.2,3.1144625,1,0.3
"Fåborg","Dänemark :dk:",6.6,4.8,3.01464722222222,1,0.2
"Salzburg","Österreich :at:",4.1,1.4,2.82763472222222,1,6.9
"Renesse","Niederlande :nl:",5.9,8.45,3.07512361111111,0,1.7
"Linz","Österreich :at:",6.4,1.75,3.18404305555556,1,1
"Zürich","Schweiz :ch:",6.1,4.05,3.80005,1,5.8
"Basel","Schweiz :ch:",6.4,5.3,3.76219027777778,1,1.8
"Innsbruck","Österreich :at:",4.4,1.25,4.77121805555556,1,2.7
"Domburg","Niederlande :nl:",6,8.45,2.5,0,0.5
"Breslau","Polen :pl:",3.95,1.1,0.654513888888889,1,2.4
"Køge","Dänemark :dk:",7.4,3.8,4.40537916666667,2,0
"Posen","Polen :pl:",6.2,1.25,0,2,0
"Zell am See","Österreich :at:",3.6,-0.15,3.87975416666667,1,2.6
"Brügge","Belgien :be:",6,8.25,2.54136111111111,0,1.4
"Hallstatt","Österreich :at:",3.05,1.35,3.54578472222222,0,2.4
"Luzern","Schweiz :ch:",4.4,3.85,3.86124722222222,1,6.7
"De Haan","Belgien :be:",6.1,9,2.57175416666667,0,1.2
"Ostende","Belgien :be:",6.3,9.4,2.64744722222222,0,0.3
"Kopenhagen","Dänemark :dk:",7.4,3.6,5.15680833333333,2,0
"Malmö","Schweden :se:",7.3,3.5,4.38564583333333,2,0
"Brünn","Tschechien :cz:",7.3,2.45,5.69705138888889,1,0.4
"Meran","Italien :it:",8.1,5.5,7.89916388888889,2,0
"Bern","Schweiz :ch:",6.5,3.8,4.72387777777778,1,0.1
"Bornholm","Dänemark :dk:",6.9,4.35,5.20456666666667,0,0.9
"Aarhus","Dänemark :dk:",6,5,0.556847222222222,1,0.5
"St. Moritz","Schweiz :ch:",4.2,-5.5,5.20036944444444,1,1.3
"Hvide Sande","Dänemark :dk:",3.7,7.55,0.381218055555556,0,2.9
"Interlaken","Schweiz :ch:",5.35,1.9,3.9375125,1,4.1
"Bozen","Italien :it:",8.1,4.65,7.91220555555556,2,0
"Wien","Österreich :at:",6.9,3.95,7.02585972222222,1,1.7
"Dijon","Frankreich :fr:",6.3,4.95,2.39871527777778,0,3.7
"Ostrava","Tschechien :cz:",3.65,1.2,0.296643055555556,0,3.2
"Klagenfurt am Wörthersee","Österreich :at:",8.1,5,7.22626388888889,2,0
"Riva del Garda","Italien :it:",8.3,7.15,7.95511527777778,2,0
"Graz","Österreich :at:",8.1,6.35,7.41508333333333,2,0
"Le Touquet-Paris-Plage","Frankreich :fr:",5.7,10.2,2.72872638888889,1,3.4
"Bratislava","Slowakei :sk:",7.5,4.05,7.242025,2,0
