"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"23.02.2026",6.8,11.9,4.61134166666667,1.4,0
"24.02.2026",3.9,11.5,0,1.5,6
"25.02.2026",9,16.4,9.55256666666667,0,0
"26.02.2026",8.6,16.8,9.583125,0,0
"27.02.2026",6.2,12.9,0,0,0
"28.02.2026",7.6,12.1,9.02636666666667,0.6,0
"01.03.2026",8.2,11.6,9.86249444444445,0,0
"02.03.2026",8.2,11.4,9.88106666666667,0.4,0
"03.03.2026",8.4,12.6,10.032875,0,0
"04.03.2026",7.6,12.3,9.77241944444444,0.6,0
"05.03.2026",8.4,15.8,10.2984666666667,0,0
