"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"22.02.2026",4.4,8.3,1.6818,9.7,3
"23.02.2026",3.9,8.1,5.53926666666667,2.58,6
"24.02.2026",1.4,8.2,0,11.4,8
"25.02.2026",8.8,15.1,9.80554444444445,0,0
"26.02.2026",8.6,15.7,9.865025,0,0
"27.02.2026",8.2,15,6.91803888888889,0,0
"28.02.2026",4.2,8.6,0,8.2,0
"01.03.2026",8.6,14.4,10.0431138888889,0,0
"02.03.2026",8.8,14.2,10.10175,0,0
"03.03.2026",8.4,14.5,10.1601388888889,0,0
"04.03.2026",8.4,13.5,10.2187111111111,0,0
