"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",5.6,-0.3,0,1,0
"München","Deutschland :de:",6.6,4.4,6.36003888888889,0,0
"Hamburg","Deutschland :de:",6.8,0.6,0,1,0
"Köln","Deutschland :de:",1,5.4,0,0,2.6
"Dresden","Deutschland :de:",6.6,2.2,0,1,0
"Leipzig","Deutschland :de:",6.6,0.5,0,1,0
"Frankfurt am Main","Deutschland :de:",1,2.9,0,0,3.7
"Freiburg im Breisgau","Deutschland :de:",1,4.8,0,0,12.4
"Berchtesgaden","Deutschland :de:",7.8,4.3,6.68460277777778,1,0
"Garmisch-Partenkirchen","Deutschland :de:",6,6,4.24029166666667,0,0.9
"Binz (Rügen)","Deutschland :de:",6.6,1,0,1,0
"Heringsdorf (Usedom)","Deutschland :de:",6.8,0,0,1,0
"Westerland (Sylt)","Deutschland :de:",7,1.3,0.196697222222222,1,0
"Wernigerode (Harz)","Deutschland :de:",4.6,-0.6,0,1,0
"Cochem (Mosel)","Deutschland :de:",1,3.5,0,0,6.8
"Kempten (Allgäu)","Deutschland :de:",4.6,3.8,3.03752222222222,0,3.6
"Nürnberg","Deutschland :de:",7,3.1,1.493125,1,0
"Münster","Deutschland :de:",1,2.1,0,0,3.5
"Stuttgart","Deutschland :de:",2.4,5.4,0.052475,0,2.6
"Norderney","Deutschland :de:",3.6,1,0,0,2.1
"Erfurt","Deutschland :de:",1,-0.1,0,0,2.8
"Bremen","Deutschland :de:",6.4,0.4,0,1,0
"Timmendorfer Strand","Deutschland :de:",7,0.8,0.03605,1,0
"Karlsbad","Tschechien :cz:",6.2,0.2,0,0,0.1
"Enschede","Niederlande :nl:",2,1.7,0,0,1.9
"Pilsen","Tschechien :cz:",6.6,0.9,0,1,0
"Maastricht","Niederlande :nl:",2.1,5.6,0,0,0
"Giethoorn","Niederlande :nl:",3.3,0.8,0,0,0.5
"Groningen","Niederlande :nl:",2.2,0.6,0,0,1.2
"Eindhoven","Niederlande :nl:",4.6,4.5,0,0,0
"Prag","Tschechien :cz:",6.6,2.2,0,1,0
"Luxemburg","Luxemburg :lu:",1,5.8,0,0,6.9
"Straßburg","Frankreich :fr:",1,5.2,0,0,8.8
"Amsterdam","Niederlande :nl:",5.8,3.4,0,0,0
"Dinant","Belgien :be:",3.7,6.3,0,0,0
"Rotterdam","Niederlande :nl:",6.6,5.4,0,1,0
"Antwerpen","Belgien :be:",6.4,6.1,0,1,0
"Zandvoort","Niederlande :nl:",6.4,3.6,0,1,0
"Český Krumlov","Tschechien :cz:",6.6,0.2,0,1,0
"Terschelling","Niederlande :nl:",4.8,0.8,0,0,0
"Noordwijk","Niederlande :nl:",6.4,3.9,0,1,0
"Bergen aan Zee","Niederlande :nl:",5.6,1.7,0,0,0
"Nancy","Frankreich :fr:",1,6.1,0,0,13.9
"Brüssel","Belgien :be:",6.6,6.5,0.298894444444444,1,0
"Texel","Niederlande :nl:",5.6,1.3,0,0,0
"Scheveningen","Niederlande :nl:",6.4,4.7,0,1,0
"Fåborg","Dänemark :dk:",6.4,0.5,0,0,0.4
"Salzburg","Österreich :at:",7.8,4.9,6.99388055555556,1,0
"Renesse","Niederlande :nl:",7,5.3,0.453283333333333,1,0
"Linz","Österreich :at:",7.8,3,6.68985833333333,1,0
"Zürich","Schweiz :ch:",2.7,5.1,0,0,4.4
"Basel","Schweiz :ch:",1,5.1,0,0,12.8
"Innsbruck","Österreich :at:",6.6,7.7,3.37120277777778,0,0
"Domburg","Niederlande :nl:",7.2,5.5,1.17686388888889,1,0
"Breslau","Polen :pl:",6.8,0.9,0,1,0
"Køge","Dänemark :dk:",6.6,0.6,0,1,0
"Posen","Polen :pl:",6,-0.4,1.24142777777778,1,0
"Zell am See","Österreich :at:",7.6,4,4.406,1,0
"Brügge","Belgien :be:",7.4,6.7,2.53455555555556,1,0
"Hallstatt","Österreich :at:",8.2,9.7,6.17308333333333,1,0
"Luzern","Schweiz :ch:",2.9,5,0,0,4.5
"De Haan","Belgien :be:",7.2,6.1,1.96346666666667,1,0
"Ostende","Belgien :be:",7.4,6.4,2.77152777777778,1,0
"Kopenhagen","Dänemark :dk:",6.8,0.8,0,1,0
"Malmö","Schweden :se:",7.6,0.6,3.36365555555556,1,0
"Brünn","Tschechien :cz:",6.6,3.5,0,1,0
"Meran","Italien :it:",1,3.6,0,0,8.7
"Bern","Schweiz :ch:",1,3.7,0,0,5.3
"Bornholm","Dänemark :dk:",4.8,-0.3,0,0,1
"Aarhus","Dänemark :dk:",6.8,0.5,0,1,0
"St. Moritz","Schweiz :ch:",1,-0.8,0,0,6.3
"Hvide Sande","Dänemark :dk:",6.8,0.5,0,1,0
"Interlaken","Schweiz :ch:",2.7,4.1,0,0,3.6
