"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",5.86666666666667,0.366666666666667,3.11471574074074,2,2.8
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",2.76666666666667,2.13333333333333,1.28298703703704,0,32.9
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",6.26666666666667,1.03333333333333,6.39948055555556,1,1.6
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",4.73333333333333,3.96666666666667,4.50416018518519,0,5.5
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",5.26666666666667,2.1,3.47998888888889,1,4.6
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",5.86666666666667,1.46666666666667,4.09643981481481,1,2.8
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",5.33333333333333,2.96666666666667,4.45624351851852,2,1
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",3.26666666666667,5.8,3.03393981481481,1,12.2
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",1.86666666666667,1.7,2.0819287037037,0,31.5
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",2.26666666666667,2.6,3.02052222222222,0,21.3
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",5.73333333333333,-1.06666666666667,4.31021018518519,1,0.8
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",5.46666666666667,-0.5,3.92994351851852,1,3.2
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",4.66666666666667,0.5,4.95278518518518,2,4
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",3.33333333333333,0.933333333333333,4.89629351851852,1,3.9
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",5.86666666666667,3.63333333333333,3.92248611111111,0,6.7
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",2.73333333333333,3.03333333333333,3.02724444444444,0,25.4
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",4.33333333333333,2.6,3.01368333333333,1,6
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",5.2,2.9,4.53349814814815,1,2.1
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",3.76666666666667,4.23333333333333,3.00976203703704,1,25.3
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",4.8,1.33333333333333,5.11157314814815,1,3
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",6.46666666666667,1.83333333333333,5.50390925925926,1,1.9
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",6.33333333333333,1.96666666666667,6.84215925925926,1,1.2
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",6.2,0.1,5.75694351851852,2,0
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",4.76666666666667,1.1,3.0921,2,1
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",5.33333333333333,2.93333333333333,5.28198981481481,1,2.7
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",5.33333333333333,0.933333333333333,2.93140555555556,1,3
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",5.2,3.76666666666667,5.42830092592593,1,3.2
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",5.5,2.93333333333333,7.30076388888889,1,2.9
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",4.9,2.06666666666667,4.40548611111111,1,4.8
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",5.06666666666667,4.4,6.52674259259259,1,5.1
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",5.86666666666667,1.63333333333333,3.40036759259259,1,3.3
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",4.93333333333333,3.4,5.10748240740741,0,7.3
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",4.13333333333333,5.5,3.06478981481482,1,17.6
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",5.23333333333333,3.86666666666667,6.4886712962963,1,3
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",4.93333333333333,4.93333333333333,5.93318796296296,1,6.2
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",5.16666666666667,4.56666666666667,7.4246,1,5.3
