"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.01.2026",7.6,11.7,7.283775,0.5,0
"22.01.2026",7.4,12.7,5.95227222222222,0.2,0
"23.01.2026",8.2,16,7.775925,0.1,0
"24.01.2026",7.2,13.4,4.36523333333333,0.6,0
"25.01.2026",8,12.2,8.67211388888889,0,0
"26.01.2026",7.8,9.8,8.84333888888889,0,0
"27.01.2026",5.2,12.6,1.08628333333333,7.7,0
"28.01.2026",7.6,17.9,6.63768611111111,0,0
"29.01.2026",8.6,21,9.09848888888889,0,0
"30.01.2026",8.4,15.4,9.12089722222222,0,0
"31.01.2026",8,17.2,9.05388888888889,0,0
