"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"18.12.2025",6.6,8.8,0,0,0
"19.12.2025",5.6,9.6,0,0.5,2
"20.12.2025",7.2,7.4,1.81688055555556,0,0
"21.12.2025",6.2,5.5,0,0,0
"22.12.2025",6.6,5.2,0,0.4,0
"23.12.2025",7.2,4.1,3.77605555555556,0,0
"24.12.2025",7.4,1.7,5.17876111111111,0,0
"25.12.2025",6.6,4.4,0.492683333333333,0,0
"26.12.2025",7.2,2.7,4.546275,0,0
"27.12.2025",7.4,2.2,5.56224444444444,0,0
"28.12.2025",7.6,2.4,5.46481111111111,0,0
