"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"17.03.2026",6.6,7.7,0.0126527777777778,0,0
"18.03.2026",8.8,11.4,10.9465444444444,0,0
"19.03.2026",9,13.7,10.9844194444444,0,0
"20.03.2026",7.8,9.7,5.40548888888889,0.3,0
"21.03.2026",8.6,9.1,10.3362055555556,0,0
"22.03.2026",8.6,13.2,11.1397333333333,0,0
"23.03.2026",8.8,13.6,11.1672694444444,0,0
"24.03.2026",6.6,8.5,2.15205833333333,0.2,0
"25.03.2026",6.6,9.7,5.64916944444444,1.8,0
"26.03.2026",8.2,14.3,11.2409305555556,0,0
"27.03.2026",8.2,14.6,8.72694722222222,0,0
