"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"19.02.2026",4,2.2,0,0.7,5
"20.02.2026",5,4.3,0.385913888888889,2.2,1
"21.02.2026",1,9.1,2,10.17,14
"22.02.2026",1.4,10.6,3.20015555555556,3.2,15
"23.02.2026",2.7,9.6,7.33534722222222,2.7,10
"24.02.2026",7.8,12.5,7.17288611111111,0,0
"25.02.2026",6,10.8,0.871036111111111,0.6,0
"26.02.2026",6.6,8.5,9.65856388888889,0.6,0
"27.02.2026",3.6,5,0,3.1,3
"28.02.2026",5.6,4.2,0,0,0
"01.03.2026",7,4.3,9.8716,0.6,0
