"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"23.04.2026",9.6,19.4,13.5358,0,0
"24.04.2026",10,22.8,13.5235444444444,0,0
"25.04.2026",10,23.7,13.3422972222222,0,0
"26.04.2026",10,25.1,13.9391277777778,0,0
"27.04.2026",9.6,20.2,13.9861166666667,0,0
"28.04.2026",8.6,22.5,9.17018055555556,0,0
"29.04.2026",8.4,20.3,14,0,0
"30.04.2026",6.6,15.6,10.1158138888889,0.2,3
"01.05.2026",7.8,12.3,14.0487305555556,0.3,0
"02.05.2026",8.2,14.3,14.0365916666667,0,0
"03.05.2026",8.4,16.3,14.0246583333333,0,0
