"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"10.03.2026",2.3,14.9,3.42946388888889,4.2,10
"11.03.2026",8.6,14.5,9.2959,0,0
"12.03.2026",8.6,15.9,10.7239305555556,0,0
"13.03.2026",8.8,15.6,10.869125,0,0
"14.03.2026",2.3,14.1,0,27.4,7
"15.03.2026",8.6,16.9,10.6553055555556,0,0
"16.03.2026",8.8,16.7,10.6400416666667,0,0
"17.03.2026",8.8,16.4,11.0721222222222,0,0
"18.03.2026",8.4,14.1,11.0802027777778,0,0
"19.03.2026",8.4,16.7,11.027125,0,0
"20.03.2026",8.8,16.6,10.8174638888889,0,0
