"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.01.2026",7.4,2.7,2.18411111111111,0,0
"22.01.2026",8,1.1,6.78459166666667,0,0
"23.01.2026",5.8,-0.3,0.198052777777778,0,0
"24.01.2026",7.8,0.5,4.13904166666667,0,0
"25.01.2026",7.2,1,2.51673888888889,0,0
"26.01.2026",6.6,0.5,0,0,0
"27.01.2026",5.8,-1.6,2.70640277777778,0,0
"28.01.2026",6.6,-1.8,7.43435555555556,0,0
"29.01.2026",6,-2.3,7.47088888888889,0.2,0
"30.01.2026",5.8,-1.9,7.5076,0.1,0
"31.01.2026",5.2,3.2,0,4.5,0
