"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"01.02.2026",7.4,1,3.08743611111111,0,0
"02.02.2026",8.2,3.9,8.48883333333333,0,0
"03.02.2026",7.8,7.3,5.62518055555556,0,0
"04.02.2026",7.8,3.3,6.23055833333333,0,0
"05.02.2026",6.8,2.2,0.601647222222222,0,0
"06.02.2026",6,6.6,2.36981944444444,4,0
"07.02.2026",6.4,10.2,6.19063888888889,2.5,0
"08.02.2026",7.8,6.6,8.89040555555555,0,0
"09.02.2026",8.2,9,8.87333333333333,0,0
"10.02.2026",5,2.8,0.0461111111111111,4.2,0
"11.02.2026",6.8,1.5,9.004625,0.1,0
