"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"30.03.2026",3.2,8,7.47874444444444,2.6,8
"31.03.2026",4.9,7.7,9.42440555555556,1.5,6
"01.04.2026",8.6,10.3,10.9160694444444,0,0
"02.04.2026",8.8,12.4,12.5457694444444,0,0
"03.04.2026",8.4,11,10.9169694444444,0,0
"04.04.2026",8.4,13.6,8.45524722222222,0,0
"05.04.2026",9,16.9,12.0672277777778,0,0
"06.04.2026",8.6,10.9,12.9678888888889,0,0
"07.04.2026",8,16.1,9.30938888888889,1.4,0
"08.04.2026",8.6,10.4,12.9869833333333,0,0
"09.04.2026",7.4,11.3,5.39895555555556,0.4,0
