"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"13.04.2026",6.8,17.1,5.43307222222222,0,3
"14.04.2026",1,13,0,20.63,15
"15.04.2026",6.6,14.5,0,0,0
"16.04.2026",9,18.4,13.11805,0,0
"17.04.2026",9.2,19.2,13.50175,0,0
"18.04.2026",8.8,17.2,13.5537083333333,0,0
"19.04.2026",8.2,17.2,13.4667111111111,0.6,0
"20.04.2026",4.4,13.6,11.5131277777778,0.7,9
"21.04.2026",4.8,10.6,10.6654194444444,0,9
"22.04.2026",3,8.1,3.75829722222222,4.4,8
"23.04.2026",5.9,10.2,13.8078277777778,0,7
