"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"09.05.2026",9.6,19.6,14.1159916666667,0,0
"10.05.2026",9.4,19.4,13.6657555555556,0,0
"11.05.2026",7.8,12.8,12.0874833333333,0.5,0
"12.05.2026",7.8,11.9,7.60303888888889,0.1,0
"13.05.2026",5.1,14.9,10.4464972222222,2.2,6
"14.05.2026",3.7,13.4,15.0361416666667,1.2,10
"15.05.2026",8.6,17,15.208475,0,0
"16.05.2026",7.4,16.4,15.1092444444444,3,0
"17.05.2026",7.8,16.8,8.52847222222222,1.3,0
"18.05.2026",9,19.6,15.0511333333333,0,0
"19.05.2026",8.8,19.8,15.0491666666667,0,0
