"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"28.01.2026",7.4,7.9,1.05125277777778,0,0
"29.01.2026",7.2,4.9,2.11368333333333,0,0
"30.01.2026",5,11,2.76952222222222,2.9,5
"31.01.2026",7.4,10.6,6.00366666666667,0,0
"01.02.2026",5.2,11.6,1.59219166666667,0.6,3
"02.02.2026",4.8,9.2,0,3.8,0
"03.02.2026",3.3,13.3,7.51000555555556,0.9,11
"04.02.2026",8.2,11.3,8.35724444444444,0,0
"05.02.2026",8,10.8,8.35136944444444,0,0
"06.02.2026",7.4,8,7.400275,0,0
"07.02.2026",7.4,8.5,8.04834444444444,0,0
