"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"29.03.2026",7.4,8.6,9.48754722222222,0.3,1
"30.03.2026",5.5,7.3,10.7785305555556,0.3,6
"31.03.2026",8.4,6.8,11.3543083333333,0,0
"01.04.2026",8.4,8.2,11.9724583333333,0,0
"02.04.2026",7.4,7,8.86065555555555,1.7,0
"03.04.2026",7,6.4,3.62473333333333,0,0
"04.04.2026",8.4,10.2,12.1438777777778,0,0
"05.04.2026",6.8,7.3,11.6383138888889,0.2,1
"06.04.2026",7.2,8.4,8.86505,1.5,0
"07.04.2026",6.8,9.8,6.834125,3.4,0
"08.04.2026",7.8,6.4,13.0326722222222,0,0
