"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"31.01.2026",5.2,-9.6,3.83952777777778,0,0
"01.02.2026",5.2,-5.9,3.22456944444444,0,0
"02.02.2026",5.4,-6.8,4.15050277777778,0,0
"03.02.2026",4.8,-16.9,1.08669166666667,0,0
"04.02.2026",4.6,-17.2,0.727613888888889,0,0
"05.02.2026",5.2,-24.8,4.99093611111111,0,0
"06.02.2026",4.4,-21,0.215930555555556,0,0
"07.02.2026",5.2,-17.2,5.32548333333333,0,0
"08.02.2026",5.2,-15.7,5.50580277777778,0,0
"09.02.2026",4,-10.3,0,0.2,0
"10.02.2026",4.8,-13.4,5.78731944444444,0.1,0
