"Ort","Bundesland","Bezeichnung","Kürzel","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Hamburg","Hamburg","Hamburg","(HH)",3.3,1.7,0,0,9.2
"Berlin","Berlin","Berlin","(BE)",3.2,1.15,0.159343055555556,0,5.1
"Warnemünde","Mecklenburg-Vorpommern","Warnemünde, Mecklenburg-Vorpommern","(MV)",3.9,0,0,0,5.6
"Sankt Peter-Ording","Schleswig-Holstein","Sankt Peter-Ording, Schleswig-Holstein","(SH)",3.8,3.9,0,0,15.7
"Timmendorfer Strand","Schleswig-Holstein","Timmendorfer Strand, Schleswig-Holstein","(SH)",4.2,1.65,0,0,11
"Norderney","Niedersachsen","Norderney, Niedersachsen","(NI)",4.1,3.1,3.10604722222222,1,12.3
"Kühlungsborn","Mecklenburg-Vorpommern","Kühlungsborn, Mecklenburg-Vorpommern","(MV)",4.5,0.95,0,0,6.55
"Dresden","Sachsen","Dresden, Sachsen","(SN)",3.35,2.6,1.51219166666667,1,3.6
"München","Bayern","München, Bayern","(BY)",4.1,3.35,0.420080555555556,0,2.8
"Köln","Nordrhein-Westfalen","Köln, Nordrhein-Westfalen","(NW)",3.3,3.95,1.96558333333333,0,9.4
"Binz (Rügen)","Mecklenburg-Vorpommern","Binz (Rügen), Mecklenburg-Vorpommern","(MV)",3.9,-0.5,1.3274375,0,4.8
"Cuxhaven","Niedersachsen","Cuxhaven, Niedersachsen","(NI)",3.9,2,0,0,10.8
"Leipzig","Sachsen","Leipzig, Sachsen","(SN)",4.45,3,3.16723194444444,1,2.7
"Frankfurt am Main","Hessen","Frankfurt am Main, Hessen","(HE)",1.9,3.75,2.57223611111111,0,3.25
"Grömitz","Schleswig-Holstein","Grömitz, Schleswig-Holstein","(SH)",4.4,1.8,0,0,10.06
"Büsum","Schleswig-Holstein","Büsum, Schleswig-Holstein","(SH)",3.7,2.3,0,0,14.2
"Borkum","Niedersachsen","Borkum, Niedersachsen","(NI)",4,3.15,2.62169583333333,1,11.1
"Konstanz","Baden-Württemberg","Konstanz, Baden-Württemberg","(BW)",3.15,6.05,3.02931111111111,0,4
"Boltenhagen","Mecklenburg-Vorpommern","Boltenhagen, Mecklenburg-Vorpommern","(MV)",4.3,1.9,0,0,8.66
"Garmisch-Partenkirchen","Bayern","Garmisch-Partenkirchen, Bayern","(BY)",2.05,2.45,0.566277777777778,0,9.9
"Lübeck","Schleswig-Holstein","Lübeck, Schleswig-Holstein","(SH)",4.1,1.25,0,0,10.3
"Waren (Müritz)","Mecklenburg-Vorpommern","Waren (Müritz), Mecklenburg-Vorpommern","(MV)",3.9,0.6,0,0,5.25
"Berchtesgaden","Bayern","Berchtesgaden, Bayern","(BY)",3,2.45,2.81348055555556,0,15.05
"Heringsdorf (Usedom)","Mecklenburg-Vorpommern","Heringsdorf (Usedom), Mecklenburg-Vorpommern","(MV)",3.8,-0.95,1.11146111111111,0,3
"Düsseldorf","Nordrhein-Westfalen","Düsseldorf, Nordrhein-Westfalen","(NW)",3.4,3.05,2.1702625,0,8.8
"Rostock","Mecklenburg-Vorpommern","Rostock, Mecklenburg-Vorpommern","(MV)",4,-0.05,0,0,5.5
"Lüneburg","Niedersachsen","Lüneburg, Niedersachsen","(NI)",3.6,1.95,0.305030555555556,0,7.5
"Scharbeutz","Schleswig-Holstein","Scharbeutz, Schleswig-Holstein","(SH)",4.2,1.65,0,0,11
"Travemünde","Schleswig-Holstein","Travemünde, Schleswig-Holstein","(SH)",3.75,1.65,0,0,10.25
"Hannover","Niedersachsen","Hannover, Niedersachsen","(NI)",3.3,2.45,2.76919027777778,0,4.26
"Oberstdorf","Bayern","Oberstdorf, Bayern","(BY)",1,3.45,0.248488888888889,0,14.46
"Stuttgart","Baden-Württemberg","Stuttgart, Baden-Württemberg","(BW)",3.3,5.85,3.59395972222222,0,2.1
"Münster","Nordrhein-Westfalen","Münster, Nordrhein-Westfalen","(NW)",3.8,3.25,2.81768333333333,1,11.8
"Potsdam","Brandenburg","Potsdam, Brandenburg","(BB)",2.85,1.15,0.765158333333333,0,5.9
"Wismar","Mecklenburg-Vorpommern","Wismar, Mecklenburg-Vorpommern","(MV)",4.4,1.6,0,0,8.26
"Norddeich","Niedersachsen","Norddeich, Niedersachsen","(NI)",4.1,1.9,3.04644444444444,1,12.8
"Stralsund","Mecklenburg-Vorpommern","Stralsund, Mecklenburg-Vorpommern","(MV)",3.6,-0.85,0,0,3.96
"Koblenz","Rheinland-Pfalz","Koblenz, Rheinland-Pfalz","(RP)",3.4,4.4,1.838175,0,8.1
"Lindau","Bayern","Lindau, Bayern","(BY)",1.75,5.85,0.569725,0,8.05
"Heidelberg","Baden-Württemberg","Heidelberg, Baden-Württemberg","(BW)",2.9,4.6,3.43505833333333,0,6.36
"Zingst","Mecklenburg-Vorpommern","Zingst, Mecklenburg-Vorpommern","(MV)",4.8,0.75,0,0,4.16
"Erfurt","Thüringen","Erfurt, Thüringen","(TH)",4.2,3.2,3.40745138888889,1,0.86
"Juist","Niedersachsen","Juist, Niedersachsen","(NI)",4.2,1.8,3.04644444444444,1,12.8
"Greetsiel","Niedersachsen","Greetsiel, Niedersachsen","(NI)",4,2.05,2.56545,1,12.2
"Heiligenhafen","Schleswig-Holstein","Heiligenhafen, Schleswig-Holstein","(SH)",4.4,1.8,0,0,10.6
"Füssen","Bayern","Füssen, Bayern","(BY)",1.85,3.25,0.027425,0,7.9
"Bremen","Bremen","Bremen","(HB)",2.9,2.7,0,0,10.76
"Kiel","Schleswig-Holstein","Kiel, Schleswig-Holstein","(SH)",4.4,1.25,0,0,9.3
"Bamberg","Bayern","Bamberg, Bayern","(BY)",2.2,2.8,3.08671944444444,0,3.35
"Freiburg im Breisgau","Baden-Württemberg","Freiburg im Breisgau, Baden-Württemberg","(BW)",3.1,7.25,3.01559722222222,0,11.25
"Cochem (Mosel)","Rheinland-Pfalz","Cochem (Mosel), Rheinland-Pfalz","(RP)",3.2,4.7,0.422683333333333,0,8
"Trier","Rheinland-Pfalz","Trier, Rheinland-Pfalz","(RP)",2.5,4.6,0,0,9.2
"Ahrenshoop","Mecklenburg-Vorpommern","Ahrenshoop, Mecklenburg-Vorpommern","(MV)",4.8,0.7,0,0,3.96
"Nürnberg","Bayern","Nürnberg, Bayern","(BY)",3.45,3.35,2.36820833333333,0,1.4
"Wernigerode (Harz)","Sachsen-Anhalt","Wernigerode (Harz), Sachsen-Anhalt","(ST)",3.1,2.3,2.96731111111111,0,8.04
"Bremerhaven","Bremen","Bremerhaven","(HB)",4.1,2,0,0,9.26
"Görlitz","Sachsen","Görlitz, Sachsen","(SN)",3.9,0.55,2.21292916666667,1,3.6
