"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"19.02.2026",6.8,3.3,0.939194444444445,0,0
"20.02.2026",6,4.8,3.93759444444444,0.38,2
"21.02.2026",1.8,9.2,0,13.3,8
"22.02.2026",1,11.1,0,17.6,15
"23.02.2026",1.2,9.6,3.49576944444444,5.6,15
"24.02.2026",5.8,11,0,1.8,0
"25.02.2026",6.6,16.8,9.43848333333333,3.4,0
"26.02.2026",8,14.9,9.26917222222222,0,0
"27.02.2026",7.2,12.1,9.65863055555556,0.7,0
"28.02.2026",7,5.9,7.39172777777778,0.9,0
"01.03.2026",7.6,8.2,9.74224166666667,0,0
