"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"13.04.2026",8.6,12.7,9.41191944444444,0,0
"14.04.2026",9,14.9,11.2155944444444,0,0
"15.04.2026",8.4,18,6.07226388888889,0,0
"16.04.2026",8.2,18.4,7.39795,0.1,0
"17.04.2026",9,16.7,13.6961888888889,0,0
"18.04.2026",9.4,18.5,13.8159666666667,0,0
"19.04.2026",8.8,19.2,13.8276083333333,0.6,0
"20.04.2026",7.6,14.4,9.47635,4.3,0
"21.04.2026",8.2,15.6,8.84298888888889,0.4,0
"22.04.2026",8.8,13.9,12.5296138888889,0,0
"23.04.2026",8.4,15.2,10.2150777777778,0,0
