"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"25.11.2025",8,7.3,7.07555,0,0
"26.11.2025",4.6,9.7,1.07371666666667,3.1,5
"27.11.2025",5,12.8,0,1.3,2
"28.11.2025",6.2,10.5,6.26278055555555,0.3,5
"29.11.2025",5.2,6.9,1.80335555555556,19.2,0
"30.11.2025",6.6,5,6.67718888888889,3.3,0
"01.12.2025",1,9.1,0,4.2,15
"02.12.2025",7.4,10,6.78255555555556,0,0
"03.12.2025",6.8,5.4,0.544472222222222,0,0
"04.12.2025",4.8,10.5,0,6.3,0
"05.12.2025",7.2,10.5,6.67591388888889,0,0
