"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"11.11.2025",4.8,9.9,0,1.3,4
"12.11.2025",8,11.2,5.27222222222222,0,0
"13.11.2025",7.6,13.9,2.64516111111111,0.1,0
"14.11.2025",6.2,9.9,0,0,0
"15.11.2025",7,6.8,5.7045,0,0
"16.11.2025",7,6,6.47633611111111,0.6,0
"17.11.2025",7.4,5.7,6.98490833333333,0.6,0
"18.11.2025",7.4,5.6,6.90881111111111,0,0
"19.11.2025",7.4,3.8,6.67805,0,0
"20.11.2025",7.4,3.4,6.78315277777778,0,0
"21.11.2025",5.6,4.8,0,1.7,0
