"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"25.12.2025",7,5.6,0,0,0
"26.12.2025",8,6.6,5.78073055555556,0,0
"27.12.2025",7.4,7.9,1.00965555555556,0,0
"28.12.2025",7.6,6.8,2.62101944444444,0,0
"29.12.2025",7.6,5.6,2.88300833333333,0,0
"30.12.2025",7.8,6.8,5.08105,0,0
"31.12.2025",7.8,5.5,4.28371666666667,0,0
"01.01.2026",7.6,5.6,5.66615,0,0
"02.01.2026",6.4,2.2,2.13272222222222,0.6,0
"03.01.2026",7.2,3,2.39581944444444,0,0
"04.01.2026",7.2,3.6,5.99133333333333,0,0
