"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"27.02.2026",8.6,15.9,8.92536388888889,0,0
"28.02.2026",7.6,14.5,5.54595277777778,0.7,0
"01.03.2026",8.4,9.1,9.09645,0,0
"02.03.2026",8.2,12.6,9.70010833333333,0,0
"03.03.2026",8.4,12.8,9.77319166666667,0,0
"04.03.2026",8,12,9.44958055555555,0,0
"05.03.2026",7.8,7.8,6.21708611111111,0,0
"06.03.2026",8.4,12.5,9.99805,0,0
"07.03.2026",8.6,10.6,10.0731027777778,0,0
"08.03.2026",8.4,10.9,10.1984277777778,0,0
"09.03.2026",8.4,11,10.3383472222222,0,0
