"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"30.03.2026",9.2,16.6,11.7681666666667,0,0
"31.03.2026",9.2,13.8,12,0,0
"01.04.2026",8,14,10.6277222222222,0.7,0
"02.04.2026",9,15.3,12,0,0
"03.04.2026",9.2,17.1,12.0205305555556,0,0
"04.04.2026",9.4,19.9,12.0063222222222,0,0
"05.04.2026",9.6,19.4,12,0,0
"06.04.2026",10,25.8,12.2420194444444,0,0
"07.04.2026",9.4,19.1,12.4898083333333,0,0
"08.04.2026",9.2,18.6,12.2149555555556,0,0
"09.04.2026",9.4,25.1,12.4636444444444,0,0
