"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"12.01.2026",1,0.9,0,4.7,10
"13.01.2026",5.8,3.4,0,0.7,0
"14.01.2026",4.6,5.1,0,0.9,3
"15.01.2026",7.2,5.9,6.47573611111111,0.6,0
"16.01.2026",7.8,4.1,6.57876944444444,0,0
"17.01.2026",6.6,2.6,1.13695833333333,0.3,0
"18.01.2026",7,2.2,1.36436944444444,0,0
"19.01.2026",6,3.9,1.914475,1,0
"20.01.2026",6.2,6.2,0,1.8,0
"21.01.2026",7.4,6.2,2.94895833333333,0,0
"22.01.2026",7.8,7,6.58943055555556,0,0
