"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"21.04.2026",7.8,24.3,9,1,2
"22.04.2026",9.4,18.3,13,0,0
"23.04.2026",9.8,23.7,11,0,0
"24.04.2026",9.4,21.4,10.7031277777778,0,0
"25.04.2026",9.8,22.8,13.3848083333333,0,0
"26.04.2026",9.6,22.6,11.4889777777778,0,0
"27.04.2026",9,26.8,11.0184472222222,1.2,0
"28.04.2026",8.6,17.8,12.0532388888889,0.7,0
"29.04.2026",8.4,16.9,10.6375166666667,0.6,0
"30.04.2026",8.8,16.2,13.5470277777778,0,0
"01.05.2026",9.2,20.6,13.2636277777778,0,0
