"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.03.2026",8.6,8.6,10.6645777777778,0,0
"16.03.2026",5.4,8.6,6.18895277777778,2.9,5
"17.03.2026",6.8,9.3,0,0,0
"18.03.2026",9,14,10.2081694444444,0,0
"19.03.2026",6.8,8.7,5.91969722222222,2.6,0
"20.03.2026",7.2,5.2,1.36057777777778,0,0
"21.03.2026",8.2,10.1,7.09604166666667,0,0
"22.03.2026",8.4,8.8,11.0659222222222,0,0
"23.03.2026",8.6,12.2,11.0992111111111,0,0
"24.03.2026",8.6,13.6,11.2135805555556,0,0
"25.03.2026",7.8,12.6,8.44996944444445,0.7,0
