"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"27.11.2025",8,0.1,6.57314722222222,0,0
"28.11.2025",7.8,1.2,7.59188333333333,0,0
"29.11.2025",5.4,4.1,4.10104722222222,2.2,3
"30.11.2025",7.8,2.5,7.45903333333333,0,0
"01.12.2025",6.6,2.6,0,0,0
"02.12.2025",7.6,5.9,5.87564166666667,0,0
"03.12.2025",7.6,5.7,5.8468,0,0
"04.12.2025",7,2.8,6.49266388888889,0.1,0
"05.12.2025",7.6,4.3,6.97956944444444,0,0
"06.12.2025",7.2,7.1,5.98489444444444,0,0
"07.12.2025",6.8,5,7.307925,0.3,0
