"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",8.58181818181818,15.7363636363636,11.3399242424242,7,3.4
"München","Deutschland :de:",8.05454545454545,13.6363636363636,8.96157272727273,7,1.1
"Hamburg","Deutschland :de:",7.98181818181818,12.5272727272727,9.30042575757576,4,5.3
"Köln","Deutschland :de:",7.65454545454546,13.7,8.95093585858586,3,13.4
"Dresden","Deutschland :de:",8.41818181818182,15.1090909090909,9.01267247474748,7,1.6
"Leipzig","Deutschland :de:",8.29090909090909,14.8545454545455,8.94928308080808,8,3.9
"Frankfurt am Main","Deutschland :de:",8.50909090909091,15.3363636363636,10.0902578282828,10,2.2
"Freiburg im Breisgau","Deutschland :de:",8.27272727272727,14.5454545454545,10.9331560606061,7,1.1
"Berchtesgaden","Deutschland :de:",7.28181818181818,12.6181818181818,8.96197222222222,7,9.7
"Garmisch-Partenkirchen","Deutschland :de:",6.9,12.1727272727273,9.50404116161616,4,14.5
"Binz (Rügen)","Deutschland :de:",8.36363636363636,11.8,11.6310876262626,8,1
"Heringsdorf (Usedom)","Deutschland :de:",8.4,12.3090909090909,11.728279040404,8,1.3
"Westerland (Sylt)","Deutschland :de:",7.45454545454545,8.03636363636364,8.59505101010101,4,10.45
"Wernigerode (Harz)","Deutschland :de:",7.85454545454545,12.7363636363636,9.47135808080808,6,3.9
"Cochem (Mosel)","Deutschland :de:",7.75454545454545,14.1454545454545,8.39090025252525,3,8.6
"Kempten (Allgäu)","Deutschland :de:",7.49090909090909,12.5181818181818,10.1416371212121,6,3.6
"Nürnberg","Deutschland :de:",8.49090909090909,14.9363636363636,9.78435984848485,9,1.1
"Münster","Deutschland :de:",7.58181818181818,13.0909090909091,7.34068939393939,3,15.7
"Stuttgart","Deutschland :de:",8.4,14.8545454545455,9.78896186868687,8,1.2
"Norderney","Deutschland :de:",7.21818181818182,9.51818181818182,7.96174772727273,3,14.48
"Erfurt","Deutschland :de:",8.29090909090909,13.8454545454545,9.61329494949495,8,4.2
"Bremen","Deutschland :de:",8.07272727272727,12.6181818181818,9.37532651515152,4,3.2
"Timmendorfer Strand","Deutschland :de:",8.23636363636364,11.9818181818182,10.1200113636364,6,2.1
"Karlsbad","Tschechien :cz:",8.56363636363636,14.4454545454545,10.7180045454545,8,3.6
"Enschede","Niederlande :nl:",7.43636363636364,12.4363636363636,7.59326313131313,2,15.68
"Pilsen","Tschechien :cz:",8.76363636363636,15.0363636363636,10.8067416666667,9,0.6
"Maastricht","Niederlande :nl:",6.97272727272727,13.1181818181818,7.01698383838384,3,20.38
"Giethoorn","Niederlande :nl:",7.29090909090909,11.6363636363636,7.70964747474747,3,20.75
"Groningen","Niederlande :nl:",7.29090909090909,11.7,7.64327727272727,3,16.8
"Eindhoven","Niederlande :nl:",7.34545454545455,13.0818181818182,7.15762853535354,3,17.08
"Prag","Tschechien :cz:",8.85454545454546,16.1,10.7847042929293,10,1.5
"Luxemburg","Luxemburg :lu:",7.70909090909091,12.4545454545455,8.65729065656566,5,9.9
"Straßburg","Frankreich :fr:",8.30909090909091,15.3636363636364,10.0118560606061,9,0.9
"Amsterdam","Niederlande :nl:",7.34545454545455,12.2545454545455,7.31542045454545,3,15.95
"Dinant","Belgien :be:",7.10909090909091,13.0454545454545,7.14761515151515,3,13.45
"Rotterdam","Niederlande :nl:",7.34545454545455,12.5272727272727,7.42373939393939,3,13.25
"Antwerpen","Belgien :be:",7.29090909090909,12.6363636363636,6.86714595959596,5,13.2
"Zandvoort","Niederlande :nl:",7.05454545454545,10.6181818181818,7.36976186868687,3,21.53
"Český Krumlov","Tschechien :cz:",8.45454545454546,13.9454545454545,10.6380593434343,9,2.6
"Terschelling","Niederlande :nl:",7.52727272727273,9.64545454545454,7.27246388888889,6,12.65
"Noordwijk","Niederlande :nl:",7.2,11.6454545454545,7.3139446969697,3,14.58
"Bergen aan Zee","Niederlande :nl:",7.4,11.0727272727273,7.05190101010101,5,15.53
"Nancy","Frankreich :fr:",8.16363636363636,14.2727272727273,9.00325353535353,7,1.9
"Brüssel","Belgien :be:",7.21818181818182,12.6818181818182,6.32463560606061,4,14.23
"Texel","Niederlande :nl:",7.54545454545455,10.9363636363636,7.54848333333333,6,12.85
