"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"15.02.2026",9,17.2,9.91239166666667,0,0
"16.02.2026",9,17.4,9.93135,0,0
"17.02.2026",7.4,17.9,6.26793333333333,1,0
"18.02.2026",8.8,16,9.96904722222222,0,0
"19.02.2026",8.4,17.9,9.80314444444444,0.6,0
"20.02.2026",8.8,17.7,8.929,0,0
"21.02.2026",8.6,17.5,9.65563333333333,0.3,0
"22.02.2026",8.8,17.3,10.0247,0,0
"23.02.2026",8.6,17.5,10.0770138888889,0.6,0
"24.02.2026",9,19.4,10.1309916666667,0,0
"25.02.2026",9.4,20.2,10.1551194444444,0,0
