"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"22.12.2025",7,5.7,0,0,0
"23.12.2025",6.8,4.1,0,0,0
"24.12.2025",7.2,4.1,1.20971944444444,0,0
"25.12.2025",7.8,3.4,5.82971666666667,0,0
"26.12.2025",7.6,3,5.84047222222222,0,0
"27.12.2025",7.8,7.2,5.85361944444444,0,0
"28.12.2025",7.8,6.8,5.86911944444445,0,0
"29.12.2025",6.6,8,0,0,0
"30.12.2025",6.4,7.8,0,0,0
"31.12.2025",7,6.3,5.93366666666667,0,0
"01.01.2026",7,6.2,5.95426666666667,0,0
