"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",6.5,-0.15,5.79174305555556,2,0
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",5.7,-2,6.92664305555556,1,2.3
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",6.6,1.2,5.98832361111111,2,0
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",5.5,0.15,3.20102916666667,0,5
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",5.5,-0.65,5.18484027777778,1,1
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",7.5,0.35,6.40538472222222,2,0
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",7.3,2.2,6.71006666666667,1,0.3
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",5.3,-0.35,6.67984861111111,0,2.2
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",5.3,-2.1,7.33719861111111,0,1.4
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",5.6,-2.6,7.28165972222222,1,0.8
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",6.5,0.7,5.98144861111111,2,0
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",6.5,0.5,6.08957222222222,2,0
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",6.1,1.25,5.45835694444444,1,0.2
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",6.6,0.1,6.63449305555556,1,0.2
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",5.1,-0.05,1.46751666666667,0,2.2
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",5.3,-3,6.90684305555556,0,3
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",6.1,-0.4,6.65142083333333,0,1
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",4.5,-0.25,2.94773333333333,0,3.2
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",6.7,0.5,6.44818611111111,0,1.3
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",5.8,2.2,3.0758,0,3
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",7.5,0.75,6.66322638888889,2,0
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",6.4,-0.85,5.72627638888889,1,0.9
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",7.3,0.7,6.12265972222222,2,0
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",5.8,-1.5,5.54651388888889,0,0.6
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",5.5,0.25,1.91040833333333,0,3.8
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",5.9,-1.6,5.65320555555556,1,1.3
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",4.4,1.25,0,0,6
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",5.1,0.05,3.2467125,0,4.6
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",4.6,-1.75,2.3724,1,3.6
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",4.1,0.95,0.133823611111111,0,8.7
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",5.6,-1.4,5.25670138888889,1,3
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",4.4,-0.6,0,0,3.6
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",6.7,1.2,5.95895555555555,0,1.2
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",5.5,0.8,3.23619583333333,1,8.4
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",4.5,1.5,0,0,5.2
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",5.3,1.4,3.25846527777778,1,9.6
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",4.9,2.15,0.359701388888889,1,8
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",5.3,2.2,3.244125,0,9.1
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",5.9,-2,7.04906111111111,1,1.8
"Terschelling","Niederlande",53.3643463061866,5.21443497127834,"Terschelling, Niederlande",5.7,2.3,3.16388194444444,1,5.8
"Noordwijk","Niederlande",52.2410856,4.4461969,"Noordwijk, Niederlande",5.3,1.5,3.24989166666667,0,9.1
"Bergen aan Zee","Niederlande",52.6607662,4.6316645,"Bergen aan Zee, Niederlande",5.4,1.55,3.21216111111111,1,8.4
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",6.5,0.8,4.76384027777778,1,2.3
"Brüssel","Belgien",50.8465573,4.351697,"Brüssel, Belgien",5,2.1,0,1,6.6
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",5.4,1.35,3.18642916666667,1,7.4
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",5.1,1.9,3.21134583333333,0,9.5
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",5.6,-0.35,1.70590277777778,2,0
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",5.2,-1.55,7.3044375,0,1.5
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",5.1,3.2,3.21033055555556,1,8.8
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",6.6,-0.9,7.27647361111111,1,0.1
"Zürich","Schweiz",47.3744489,8.5410422,"Zürich, Schweiz",5.5,-1.8,6.78395277777778,0,1.9
"Basel","Schweiz",47.5589680548118,7.58875075727046,"Basel, Schweiz",5.2,-0.6,6.534425,0,1.8
"Innsbruck","Österreich",47.2654296,11.3927685,"Innsbruck, Österreich",5.9,-1.6,7.31027083333333,2,0
"Domburg","Niederlande",51.5632141,3.4967277,"Domburg, Niederlande",5,3.3,3.26581666666667,0,8.1
"Breslau","Polen",51.1082644352883,17.0337679840311,"Breslau, Polen",5.7,-3,5.41867916666667,1,2.8
"Køge","Dänemark",55.4565009,12.1818964,"Køge, Dänemark",5,-1.25,3.09700833333333,1,0.6
"Posen","Polen",52.4082663,16.9335199,"Posen, Polen",5.7,-1.2,4.48973055555556,1,0.3
"Zell am See","Österreich",47.3239636,12.7963165,"Zell am See, Österreich",5.6,-3.35,7.38591805555556,0,0.2
"Brügge","Belgien",51.2085526,3.226772,"Brügge, Belgien",5.1,4.05,3.3657375,1,7.4
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",5.5,-2.05,7.40490277777778,0,0.6
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",5.3,-1.15,6.62839722222222,1,2
"De Haan","Belgien",51.2671194,3.0408427,"De Haan, Belgien",5.7,4.5,3.35841111111111,1,6.8
