"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",9.2,20.4,15.2604111111111,1,0
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",7.2,24.9,13.7159944444444,0,1.6
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",8.8,18.5,15.4778027777778,1,0
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",8.6,23.2,15,0,0.6
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",9.4,22.5,12.6591194444444,1,0
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",9,21.8,11.2759333333333,1,0
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",8,24.9,14.9400555555556,0,6.1
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",7.6,24.4,12.5307805555556,0,0.7
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",9,26.8,14.6357972222222,1,0
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",4.4,20.9,14.6178305555556,0,5
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",8.6,14.6,15.6418833333333,1,0
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",8.4,14.1,15.5812805555556,1,0
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",8.4,11.5,15.7220916666667,1,0
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",8.4,16.7,13.1326916666667,1,0
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",8.4,23.9,14.2551555555556,0,1.2
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",6.8,20.4,13.6653833333333,0,1.2
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",7.6,26.8,14.4799444444444,0,8.4
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",8.8,19.5,15.010425,1,0
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",6.9,25.8,13.8824583333333,0,0
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",8.2,11.6,15.3506083333333,1,0
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",7.8,19.2,5.21059166666667,0,0.6
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",8.8,18.7,13.6868416666667,1,0
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",8.4,15,15.5613527777778,1,0
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",9,21,15.1024805555556,1,0
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",9,20,15.0253083333333,1,0
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",9.2,25.6,14.955525,1,0
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",8.2,21.5,15,0,1.9
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",8.8,18.8,15.0394166666667,1,0
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",8.6,16.1,15.1283944444444,1,0
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",8.8,21.1,15.0157277777778,1,0
