"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"11.03.2026",6,11,6.85033333333333,0.8,4
"12.03.2026",8.6,11.5,9.30659166666667,0,0
"13.03.2026",5,12.6,3.54037777777778,4.3,5
"14.03.2026",7.6,8.7,7.05945833333333,0,0
"15.03.2026",8.2,9.9,10.1281972222222,0.4,0
"16.03.2026",6.8,8.8,8.67025277777778,1.5,0
"17.03.2026",8.2,10.2,7.14018055555556,0,0
"18.03.2026",8,3.4,9.26284444444444,0,0
"19.03.2026",8.4,6.1,10.8828361111111,0,0
"20.03.2026",8.6,9.2,10.9834194444444,0,0
"21.03.2026",8,6.1,8.98624444444444,0,0
