"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"10.03.2026",6.2,11,1.83772777777778,0.3,2
"11.03.2026",8,12.2,7.64823055555556,0.1,0
"12.03.2026",2.6,11.3,2.23849166666667,7.2,8
"13.03.2026",7.2,11.1,10.5951666666667,0.3,1
"14.03.2026",7.8,10.7,10.6137972222222,0.3,0
"15.03.2026",8,10.7,10.4374166666667,0,0
"16.03.2026",8.6,9.9,10.8540055555556,0,0
"17.03.2026",8.4,10.8,10.9196555555556,0,0
"18.03.2026",8.6,11.5,10.9850361111111,0,0
"19.03.2026",8.4,11.2,11.0501055555556,0,0
"20.03.2026",8.4,12.6,11.1148277777778,0,0
