"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"11.12.2025",7.8,10,2.86461944444444,0,0
"12.12.2025",7.8,10,3.46594166666667,0,0
"13.12.2025",7.2,8.5,2.17170277777778,0,0
"14.12.2025",7.2,8.4,2.36561388888889,0,0
"15.12.2025",8,10.5,6.332725,0,0
"16.12.2025",7.6,11,3.55020555555556,0,0
"17.12.2025",7.8,9.1,5.38694166666667,0,0
"18.12.2025",6.8,9.5,5.41729444444444,0.9,0
"19.12.2025",7.4,8.6,6.03105833333333,0,0
"20.12.2025",6.8,7.2,2.0822,0,0
"21.12.2025",7.4,6.6,6.262325,0,0
