"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"02.01.2026",6,-0.1,2.02262777777778,0,0
"03.01.2026",6,-2.8,2.38323055555556,0,0
"04.01.2026",6,-4.3,2.767325,0,0
"05.01.2026",4.4,-15.6,2.78030277777778,0,0
"06.01.2026",4.2,-13.9,1.26475555555556,0,0
"07.01.2026",3.8,-6.3,0,0.2,0
"08.01.2026",4.4,-5.2,2.73865833333333,0.1,0
"09.01.2026",5.4,-2.7,2.91651388888889,0,0
"10.01.2026",4.2,-6.5,3.06026388888889,0,0
"11.01.2026",4.2,-6.9,3.16244444444444,0,0
"12.01.2026",5.6,0.4,0,1.2,0
