"Ort","Land","Lat","Lon","Ort und Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland",52.510885,13.3989367,"Berlin, Deutschland",6.6,3.3375,3.30817743055556,5,1.9
"München","Deutschland",48.1371079,11.5753822,"München, Deutschland",6.025,2.7125,2.74342777777778,2,8.6
"Hamburg","Deutschland",53.550341,10.000654,"Hamburg, Deutschland",6.825,3.7875,4.88010590277778,4,7.3
"Köln","Deutschland",50.938361,6.959974,"Köln, Deutschland",5.1,5.225,3.82279548611111,2,16
"Dresden","Deutschland",51.0493286,13.7381437,"Dresden, Deutschland",6.35,3.8,2.53301875,4,4.5
"Leipzig","Deutschland",51.3406321,12.3747329,"Leipzig, Deutschland",6.75,4.0375,3.02179479166667,5,1.1
"Frankfurt am Main","Deutschland",50.1106444,8.6820917,"Frankfurt am Main, Deutschland",6.2,4.7625,4.345371875,2,6.2
"Freiburg im Breisgau","Deutschland",47.9960901,7.8494005,"Freiburg im Breisgau, Deutschland",6.0375,5.4375,4.59378125,3,14.3
"Berchtesgaden","Deutschland",47.6330221,13.0020051,"Berchtesgaden, Deutschland",4.45,1.875,3.31745243055556,1,20.6
"Garmisch-Partenkirchen","Deutschland",47.4923741,11.0962815,"Garmisch-Partenkirchen, Deutschland",4.5625,2.325,3.95776666666667,2,30.8
"Binz (Rügen)","Deutschland",54.4010291,13.6076477,"Binz (Rügen), Deutschland",6.525,3.8375,3.56890034722222,3,6.9
"Heringsdorf (Usedom)","Deutschland",53.9574755379561,14.1561145382659,"Heringsdorf (Usedom), Deutschland",6.6,3.5125,2.82086666666667,4,3.8
"Westerland (Sylt)","Deutschland",54.9064856,8.3071734,"Westerland (Sylt), Deutschland",5.7,5.9375,2.95890347222222,2,20.1
"Wernigerode (Harz)","Deutschland",51.8344172,10.7862526,"Wernigerode (Harz), Deutschland",6.3,3.4875,6.07307638888889,5,1.8
"Cochem (Mosel)","Deutschland",50.1483916,7.1663195,"Cochem (Mosel), Deutschland",5.4125,4.975,3.36269861111111,2,12.5
"Kempten (Allgäu)","Deutschland",47.7283301033609,10.3134956128828,"Kempten (Allgäu), Deutschland",5.3625,2.325,3.41148541666667,3,10.2
"Nürnberg","Deutschland",49.453872,11.077298,"Nürnberg, Deutschland",6.125,3.5,2.26087534722222,4,2.6
"Münster","Deutschland",51.9625101,7.6251879,"Münster, Deutschland",5.8,4.4875,4.16225972222222,3,20
"Stuttgart","Deutschland",48.7784485,9.1800132,"Stuttgart, Deutschland",6.1875,5.2125,4.06930833333333,3,3.3
"Norderney","Deutschland",53.7056126,7.1438175,"Norderney, Deutschland",5.925,5.7625,4.09579131944444,3,16.2
"Erfurt","Deutschland",50.9777974,11.0287364,"Erfurt, Deutschland",6.875,4.2375,5.05120277777778,6,2.4
"Bremen","Deutschland",53.0758196,8.8071646,"Bremen, Deutschland",6.9,4.575,5.30621076388889,4,6
"Timmendorfer Strand","Deutschland",53.9981853,10.7799016,"Timmendorfer Strand, Deutschland",6.875,3.8,4.49745208333333,6,6.2
"Karlsbad","Tschechien",50.2306216,12.8701437,"Karlsbad, Tschechien",6.175,2.2375,2.65829652777778,4,3.3
"Enschede","Niederlande",52.2203520784103,6.89276277399481,"Enschede, Niederlande",5.9,4.55,4.34964305555556,2,20.1
"Pilsen","Tschechien",49.738291083662,13.373815095209,"Pilsen, Tschechien",6.35,2.4625,2.62872534722222,2,4.4
"Maastricht","Niederlande",50.8512438,5.6909768,"Maastricht, Niederlande",5.325,5.7,2.403271875,2,20.5
"Giethoorn","Niederlande",52.741105,6.077431,"Giethoorn, Niederlande",5.875,5.2375,3.87777291666667,4,22.9
"Groningen","Niederlande",53.2194889849201,6.56569017951351,"Groningen, Niederlande",5.975,4.975,4.29251215277778,5,19.9
"Eindhoven","Niederlande",51.4380321789511,5.47601718115641,"Eindhoven, Niederlande",5.675,5.5125,3.33768020833333,3,18.4
"Prag","Tschechien",50.0874654,14.4212535,"Prag, Tschechien",6.175,2.3125,2.75564131944444,3,9.1
"Luxemburg","Luxemburg",49.6121816191827,6.12761269146448,"Luxemburg",5.3,4.0625,1.73680590277778,3,8.6
"Straßburg","Frankreich",48.584614,7.7507127,"Straßburg, Frankreich",6.025,5.775,5.34849027777778,3,3.6
"Amsterdam","Niederlande",52.3730796,4.8924534,"Amsterdam, Niederlande",5.55,4.8,4.60279027777778,2,41.7
"Dinant","Belgien",50.2591813,4.9130588,"Dinant, Belgien",5.35,5.675,1.37616875,3,10.5
"Rotterdam","Niederlande",51.9244424,4.47775,"Rotterdam, Niederlande",5.475,5.875,3.80306076388889,2,36.3
"Antwerpen","Belgien",51.2211097,4.3997081,"Antwerpen, Belgien",5.675,5.925,3.90401701388889,2,26.3
"Zandvoort","Niederlande",52.3719838,4.5302209,"Zandvoort, Niederlande",5.25,7.2125,3.78999236111111,3,35.9
"Český Krumlov","Tschechien",48.8106526,14.3150586,"Český Krumlov, Tschechien",5.975,1.5125,2.87888506944444,3,10.7
"Terschelling","Niederlande",53.3643463061866,5.21443497127834,"Terschelling, Niederlande",5.55,7.7625,3.92951736111111,1,17.3
"Noordwijk","Niederlande",52.2410856,4.4461969,"Noordwijk, Niederlande",5.225,6.525,3.84128958333333,3,37.3
"Bergen aan Zee","Niederlande",52.6607662,4.6316645,"Bergen aan Zee, Niederlande",5.375,6.6625,4.47332604166667,1,26.7
"Nancy","Frankreich",48.6896465492961,6.18236505173213,"Nancy, Frankreich",5.85,5.4375,3.83376145833333,2,12
"Brüssel","Belgien",50.8465573,4.351697,"Brüssel, Belgien",5.625,6.1625,3.65982673611111,2,14.3
"Texel","Niederlande",53.0543143461686,4.79876535287512,"Texel, Niederlande",5.425,7.0875,4.53797534722222,0,27.1
"Scheveningen","Niederlande",52.1067449,4.2736937,"Scheveningen, Niederlande",5.175,6.525,3.82850208333333,2,34.1
"Fåborg","Dänemark",55.097087,10.2428246,"Fåborg, Dänemark",5.2,3.325,1.86504097222222,2,26.8
"Salzburg","Österreich",47.7981346,13.0464806,"Salzburg, Österreich",5,2.3875,2.58310173611111,1,19.9
"Renesse","Niederlande",51.7311823,3.7719799,"Renesse, Niederlande",5.125,7.0375,2.96318993055556,2,36.6
"Linz","Österreich",48.3059078,14.286198,"Linz, Österreich",6.0875,2.425,2.94048715277778,3,3.9
"Zürich","Schweiz",47.3744489,8.5410422,"Zürich, Schweiz",5.9625,4.0375,3.73538576388889,3,7.6
"Basel","Schweiz",47.5589680548118,7.58875075727046,"Basel, Schweiz",5.95,5.125,4.038028125,2,9
"Innsbruck","Österreich",47.2654296,11.3927685,"Innsbruck, Österreich",5.2,3.2125,4.44944548611111,2,13.9
"Domburg","Niederlande",51.5632141,3.4967277,"Domburg, Niederlande",4.625,6.925,2.87271458333333,2,30
"Breslau","Polen",51.1082644352883,17.0337679840311,"Breslau, Polen",6.725,3,4.53497395833333,3,13.9
"Køge","Dänemark",55.4565009,12.1818964,"Køge, Dänemark",5.525,3.025,3.01940138888889,2,23.6
"Posen","Polen",52.4082663,16.9335199,"Posen, Polen",6.9,2.675,4.23383333333333,5,6.4
"Zell am See","Österreich",47.3239636,12.7963165,"Zell am See, Österreich",3.875,1.5875,3.793153125,1,18.1
"Brügge","Belgien",51.2085526,3.226772,"Brügge, Belgien",4.725,6.325,3.84756805555556,1,28.1
"Hallstatt","Österreich",47.5621698,13.6486697,"Hallstatt, Österreich",4.45,2.8375,3.52649548611111,1,18.4
"Luzern","Schweiz",47.0505452,8.3054682,"Luzern, Schweiz",5.5,3.8375,4.23441666666667,3,14.3
"De Haan","Belgien",51.2671194,3.0408427,"De Haan, Belgien",4.275,7.05,3.53475520833333,0,39.1
"Ostende","Belgien",51.2258565,2.919496,"Ostende, Belgien",4.2,7.2,3.77617569444444,0,31.6
"Kopenhagen","Dänemark",55.6867243,12.5700724,"Kopenhagen, Dänemark",5.475,2.775,2.98960555555556,2,22.7
"Malmö","Schweden",55.6052931,13.0001566,"Malmö, Schweden",5.175,3.6375,2.94678298611111,2,21.1
"Brünn","Tschechien",49.1944262292563,16.6077238664507,"Brünn, Tschechien",6.3,1.875,3.51053645833333,3,8.4
"Meran","Italien",46.6695547,11.1594185,"Meran, Italien",6.5,5.3375,4.58076388888889,4,10.8
