"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"29.01.2026",4.2,4.9,0.338975,0.9,5
"30.01.2026",6,3.5,0,0.1,0
"31.01.2026",7.6,6.8,6.73803888888889,0.4,0
"01.02.2026",7.4,8.1,6.23542777777778,0.9,0
"02.02.2026",8.2,6.7,8.49641388888889,0,0
"03.02.2026",7.8,8.7,6.35862777777778,0,0
"04.02.2026",7.4,8.6,8.598625,0.6,0
"05.02.2026",8,7.6,8.68215277777778,0,0
"06.02.2026",7.4,7.6,8.29019166666667,0,0
"07.02.2026",5.2,4.7,0,2.5,0
"08.02.2026",7.4,7.7,7.45431944444444,0,0
