"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.35,4.025,5.36381736111111,3,0.3
"München","Deutschland :de:",7.7,4.55,7.40565,4,0
"Hamburg","Deutschland :de:",6.65,6.025,2.13731180555556,2,1
"Köln","Deutschland :de:",6.3,6.9,4.12822777777778,1,4.7
"Dresden","Deutschland :de:",7.55,5.275,6.34860902777778,3,0.9
"Leipzig","Deutschland :de:",7.65,5.6,6.08073402777778,3,0.3
"Frankfurt am Main","Deutschland :de:",7.1,5.975,4.32889652777778,3,1.8
"Freiburg im Breisgau","Deutschland :de:",6.8,6.925,3.43856527777778,3,4.1
"Berchtesgaden","Deutschland :de:",7.75,5.975,7.40666111111111,3,0.3
"Garmisch-Partenkirchen","Deutschland :de:",7.8,5.725,7.58966111111111,4,0
"Binz (Rügen)","Deutschland :de:",6.55,3.175,3.11268680555556,1,0.9
"Heringsdorf (Usedom)","Deutschland :de:",6.75,2.525,3.03777916666667,3,0.6
"Westerland (Sylt)","Deutschland :de:",5.6,4.825,0,1,6.2
"Wernigerode (Harz)","Deutschland :de:",7.2,5.425,4.68007222222222,3,0.6
"Cochem (Mosel)","Deutschland :de:",5.85,6.425,0.320139583333333,2,5
"Kempten (Allgäu)","Deutschland :de:",7.55,4.075,7.43535555555555,3,0.3
"Nürnberg","Deutschland :de:",7.4,3.85,6.0637,4,0
"Münster","Deutschland :de:",6.65,6.275,3.739725,3,3.3
"Stuttgart","Deutschland :de:",7.3,7.375,4.20580069444444,3,0.9
"Norderney","Deutschland :de:",5.75,4.55,0.00789444444444445,3,5.8
"Erfurt","Deutschland :de:",7.4,5.55,4.34932291666667,4,0
"Bremen","Deutschland :de:",6.9,6.7,3.07868819444444,3,1
"Timmendorfer Strand","Deutschland :de:",6.55,5.25,1.94266805555556,2,0.8
"Karlsbad","Tschechien :cz:",7.05,2.25,3.24976041666667,4,0
"Enschede","Niederlande :nl:",6.2,5.75,1.53783472222222,3,5
"Pilsen","Tschechien :cz:",7.5,1.8,5.17080972222222,4,0
"Maastricht","Niederlande :nl:",6.4,6.75,2.75577222222222,2,4.5
"Giethoorn","Niederlande :nl:",5.65,5.175,0,3,7.9
"Groningen","Niederlande :nl:",5.75,5.525,0.0299444444444444,3,6
"Eindhoven","Niederlande :nl:",6.15,6.45,1.36921458333333,3,8.2
"Prag","Tschechien :cz:",7.2,3.625,3.35878402777778,4,0
"Luxemburg","Luxemburg :lu:",5.5,4.35,0.00811736111111111,2,11.4
"Straßburg","Frankreich :fr:",6.6,6.775,3.43867777777778,3,6.1
"Amsterdam","Niederlande :nl:",6.15,6.075,2.63570208333333,2,4.4
"Dinant","Belgien :be:",5.7,6.325,0.424972222222222,2,8.8
"Rotterdam","Niederlande :nl:",6.15,6.575,2.16830694444444,3,4.1
"Antwerpen","Belgien :be:",6.25,6.975,2.67077291666667,3,7.2
"Zandvoort","Niederlande :nl:",6.2,6.1,3.19562916666667,1,3.5
"Český Krumlov","Tschechien :cz:",7.8,4.55,6.648275,4,0
"Terschelling","Niederlande :nl:",6.05,6.2,0.865963194444444,2,2.6
"Noordwijk","Niederlande :nl:",6.2,6.5,3.21814791666667,1,3.5
"Bergen aan Zee","Niederlande :nl:",6.1,6.35,2.11947569444444,1,3.6
"Nancy","Frankreich :fr:",6.7,8.35,4.88355902777778,2,4.9
"Brüssel","Belgien :be:",5.85,7.025,2.71421875,2,8
"Texel","Niederlande :nl:",6.1,6.45,1.31506111111111,2,2.3
"Scheveningen","Niederlande :nl:",6.2,6.625,3.32578194444444,1,4.6
"Fåborg","Dänemark :dk:",5.65,3.45,0,2,2.6
"Salzburg","Österreich :at:",7.7,5.575,7.38152986111111,3,0.3
"Renesse","Niederlande :nl:",6.15,6.875,2.81904236111111,1,3.3
"Linz","Österreich :at:",7.7,3.475,6.50479583333333,3,0.1
"Zürich","Schweiz :ch:",7.35,3.55,6.59396666666667,3,0.6
"Basel","Schweiz :ch:",6.35,6.2,2.65629375,1,3.1
"Innsbruck","Österreich :at:",7.8,6.7,7.75428194444444,4,0
"Domburg","Niederlande :nl:",6.15,6.95,3.27712222222222,1,3.9
"Breslau","Polen :pl:",7.2,3.375,5.01868541666667,3,1.4
"Køge","Dänemark :dk:",6.15,2.825,0.489180555555556,3,0.2
"Posen","Polen :pl:",6.7,2.075,3.69744444444444,3,1.2
"Zell am See","Österreich :at:",7.9,6.25,7.59062361111111,4,0
"Brügge","Belgien :be:",6.1,7.125,3.38545416666667,1,4.6
"Hallstatt","Österreich :at:",7.9,6.675,7.64943333333333,3,0.2
"Luzern","Schweiz :ch:",7.6,6.825,7.11945625,3,0.3
"De Haan","Belgien :be:",6,7.125,2.30595763888889,1,4
"Ostende","Belgien :be:",6.1,7.25,2.79777361111111,1,4.1
"Kopenhagen","Dänemark :dk:",5.95,3.125,0,2,0.5
"Malmö","Schweden :se:",5.9,3.225,0,2,1
"Brünn","Tschechien :cz:",6.35,2.175,0.610514583333333,3,0.3
"Meran","Italien :it:",6.2,6.975,5.43167152777778,2,6.6
"Bern","Schweiz :ch:",7.1,4.475,5.91725486111111,2,1.9
"Bornholm","Dänemark :dk:",5.95,2.6,0.211170833333333,2,1.5
"Aarhus","Dänemark :dk:",5.7,3.15,0,2,2.2
"St. Moritz","Schweiz :ch:",3.1,-0.725,7.22359166666667,1,5.5
"Hvide Sande","Dänemark :dk:",5.4,4.45,0.616988194444444,1,7.1
"Interlaken","Schweiz :ch:",7.5,6.75,7.42995277777778,3,0.8
"Bozen","Italien :it:",6.25,6.4,4.64717708333333,2,1.7
"Wien","Österreich :at:",7.3,3.825,3.33237638888889,3,0.3
"Dijon","Frankreich :fr:",6.3,7.9,4.24964930555556,2,8.5
"Ostrava","Tschechien :cz:",7,3.45,3.38691041666667,2,0.7
"Klagenfurt am Wörthersee","Österreich :at:",5.375,4.125,1.79800138888889,1,1.6
"Riva del Garda","Italien :it:",5.4,8.25,3.88529930555556,1,11.3
"Graz","Österreich :at:",7.55,4.15,5.05334652777778,4,0
"Le Touquet-Paris-Plage","Frankreich :fr:",5.65,8.875,4.11047013888889,1,5.1
"Bratislava","Slowakei :sk:",6.65,2.825,2.64668125,3,0.3
"Zermatt","Schweiz :ch:",3.45,1.475,7.64137708333333,1,2.7
"Bled","Slowenien :si:",2.3,5.675,1.81924930555556,0,8.7
"Paris","Frankreich :fr:",7.05,9.675,4.74700277777778,2,3
"Norwich","England :gb-eng:",6.8,8.475,4.91390277777778,2,4.8
"Ipswich","England :gb-eng:",6.65,8.725,4.13016736111111,1,4.2
"Katowice","Polen :pl:",7.25,1.925,5.64307013888889,3,0.1
"Torri del Benaco","Italien :it:",5.8,8.35,2.88656805555556,1,9.2
"Genf","Schweiz :ch:",5.95,4,4.05272013888889,1,8
"Sirmione","Italien :it:",5.6,6.575,1.29762361111111,1,5.2
"Mailand","Italien :it:",2.3,5.325,0.0878243055555556,0,14.9
"Danzig","Polen :pl:",6.25,-0.475,3.34573125,3,1.2
"Maribor","Slowenien :si:",7.45,6.625,5.57422430555556,4,0
"Ljubljana","Slowenien :si:",5.7,4.9,1.7691125,2,2.6
"Annecy","Frankreich :fr:",6.35,6.25,5.39070486111111,1,8.6
"Venedig","Italien :it:",5.85,8.125,1.55275486111111,2,8.9
"Triest","Italien :it:",5.4,10.175,1.49303055555556,0,8.9
"Cambridge","England :gb-eng:",6.75,8.325,4.98094305555556,1,4.5
"Krakau","Polen :pl:",6.45,-0.475,3.74767777777778,4,0
"Skagen","Dänemark :dk:",5.15,3.175,0,1,3.9
"London","England :gb-eng:",6.55,8.8,4.90099375,1,8.7
"Göteborg","Schweden :se:",5.35,1.95,0,1,5
"Brighton","England :gb-eng:",5.1,8.4,4.94102291666667,0,15
"Zakopane","Polen :pl:",7.35,2.2,7.47301736111111,4,0
"Lyon","Frankreich :fr:",6.75,10.125,4.48158194444444,2,5.4
"Bourges","Frankreich :fr:",7,9.775,6.72887569444444,2,2.5
"Rovinj","Kroatien :hr:",5.85,10.9,3.77402569444444,1,6.2
"Balaton","Ungarn :hu:",7.35,4.775,4.62931666666667,3,0.6
"Zagreb","Kroatien :hr:",7.55,8.325,6.07633333333333,2,0.8
"Deauville","Frankreich :fr:",6.45,9.225,4.30564097222222,1,11.7
"Warschau","Polen :pl:",6.7,0.975,3.46114513888889,3,1.4
"Hohe Tatra (Tatranská Lomnica)","Slowakei :sk:",7.45,1.5,7.46554652777778,4,0
"Pula","Kroatien :hr:",5.575,11.55,3.85178819444444,2,2.9
"Budapest","Ungarn :hu:",6.5,0.55,3.91615138888889,4,0
"Kristiansand","Norwegen :no:",1.1,4.425,1.57162152777778,0,27.6
"Oxford","England :gb-eng:",6.35,7.95,4.57248194444444,1,10.5
"Cinque Terre","Italien :it:",1.3,11.25,1.88671041666667,0,17.4
"Isle of Wight","England :gb-eng:",5.15,8.8,5.30714513888889,0,21.6
"Le Mans","Frankreich :fr:",5.35,9.45,3.88080902777778,1,6.4
"Clermont-Ferrand","Frankreich :fr:",6.5,9.4,4.4628,2,4.4
"York","England :gb-eng:",6.15,6.625,2.77526805555556,1,7.8
