"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"10.03.2026",8,17.2,8.46701666666667,2.7,0
"11.03.2026",6,16.1,9.23876388888889,2.34,5
"12.03.2026",8.6,12.5,10.5248444444444,0,0
"13.03.2026",8.8,16.5,10.4535138888889,0,0
"14.03.2026",6.4,8.3,0,0,0
"15.03.2026",6.6,11,5.82063888888889,1.5,0
"16.03.2026",5.8,9.5,0,0,0
"17.03.2026",8.4,12.7,10.9626027777778,0,0
"18.03.2026",9,17.4,10.9989027777778,0,0
"19.03.2026",7.6,10.1,7.35128611111111,0.3,0
"20.03.2026",6.2,11.1,0,0.4,0
