"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"22.03.2026",9,13.5,11,0,0
"23.03.2026",9,13.6,11,0,0
"24.03.2026",9,15.6,11,0,0
"25.03.2026",2.7,10.3,5.01000833333333,1.2,10
"26.03.2026",4.2,6.9,10.1572527777778,1.4,8
"27.03.2026",7.6,8.5,11.0807444444444,0,0
"28.03.2026",7.2,8.6,11.1423527777778,0,0
"29.03.2026",7.8,6.3,11.4224305555556,0,0
"30.03.2026",6.8,5.6,3.77647222222222,0.5,0
"31.03.2026",7.4,5.3,11.1706222222222,1.6,0
"01.04.2026",6.8,6.7,7.68338055555556,1,0
