"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"14.11.2025",8.6,14.1,7.44671666666667,0,0
"15.11.2025",7.8,15.3,5.61135,0.1,0
"16.11.2025",2.9,14.5,0,11.7,6
"17.11.2025",4.7,16.4,6.2717,3.3,6
"18.11.2025",5.5,11.4,8.28663611111111,0,6
"19.11.2025",8.2,9.8,8.245125,0,0
"20.11.2025",7.4,9.6,7.07777222222222,0,0
"21.11.2025",3.9,10.3,2.14893333333333,4.4,7
"22.11.2025",7.8,7.3,8.12545,0,0
"23.11.2025",8,5.8,8.08845833333333,0,0
"24.11.2025",8.2,5.3,8.04264722222222,0,0
