"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"06.12.2025",2.4,7.2,2.83836944444444,3.4,8
"07.12.2025",1,7.4,0,7.74,15
"08.12.2025",5.4,9.5,2.95665277777778,0.2,4
"09.12.2025",8,10.6,4.71292777777778,0,0
"10.12.2025",8,11.2,7.35405277777778,0,0
"11.12.2025",6.4,8.5,4.79419444444444,2.3,0
"12.12.2025",8,7.3,7.296675,0,0
"13.12.2025",8.2,9.7,7.241,0,0
"14.12.2025",7.8,7.3,4.04161111111111,0,0
"15.12.2025",8,9.1,7.07971388888889,0,0
"16.12.2025",7.8,12.6,7.28809722222222,0,0
