"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"04.01.2026",2.4,-2.9,0,4.5,4
"05.01.2026",6.4,-3.4,6.64723611111111,0,0
"06.01.2026",5.8,-2.4,3.74533055555556,0.3,0
"07.01.2026",6.4,-4.6,6.78311388888889,0,0
"08.01.2026",4,-0.7,0,1.2,0
"09.01.2026",1,-1.2,0,15.3,15
"10.01.2026",2.8,-3.6,0.646886111111111,4,2
"11.01.2026",4.4,5.4,0,5.6,0
"12.01.2026",2.9,6.1,0,2.5,6
"13.01.2026",6.4,5.8,4.67981388888889,1.4,0
"14.01.2026",5,1.4,0,2.4,0
