"Ort","Land","Score","Ø Höchst&shy;temperatur","Ø Sonnen&shy;stunden pro Tag","Tage ohne Niederschlag","Gesamtnieder&shy;schlag in mm"
"Berlin","Deutschland :de:",7.4,7.7,5.3296,1,0
"München","Deutschland :de:",7,7.3,9.54923333333333,0,1.5
"Hamburg","Deutschland :de:",8.2,10.3,10.0546388888889,1,0
"Köln","Deutschland :de:",8.6,18.3,14.2146,0,0.3
"Dresden","Deutschland :de:",6.6,7.7,5.06673055555556,0,1.6
"Leipzig","Deutschland :de:",7.2,8.8,8.761375,0,1.1
"Frankfurt am Main","Deutschland :de:",8,11.3,13.3122416666667,0,0.7
"Freiburg im Breisgau","Deutschland :de:",7.6,10.8,9.07181111111111,0,0.3
"Berchtesgaden","Deutschland :de:",5.1,6.4,13.9554638888889,0,1.8
"Garmisch-Partenkirchen","Deutschland :de:",6.8,5.7,13.0590222222222,0,2.7
"Binz (Rügen)","Deutschland :de:",7.2,7.2,5.09419166666667,0,0.6
"Heringsdorf (Usedom)","Deutschland :de:",7,6.4,4.50973611111111,0,0.9
"Westerland (Sylt)","Deutschland :de:",7.8,8.5,14.7599861111111,1,0
"Wernigerode (Harz)","Deutschland :de:",7.8,9.6,10.565425,0,0.3
"Cochem (Mosel)","Deutschland :de:",9,19.1,14.3058138888889,1,0
"Kempten (Allgäu)","Deutschland :de:",5.8,4.4,10.5315861111111,0,2
"Nürnberg","Deutschland :de:",8.4,10.2,13.8993138888889,0,0.3
"Münster","Deutschland :de:",8.8,17.7,14.4668972222222,1,0
"Stuttgart","Deutschland :de:",8.4,10,14.1939333333333,1,0
"Norderney","Deutschland :de:",8,9.2,14.4408694444444,1,0
"Erfurt","Deutschland :de:",7.6,10.4,11.7941916666667,0,1.2
"Bremen","Deutschland :de:",8.4,12.2,14.5749361111111,1,0
"Timmendorfer Strand","Deutschland :de:",8.2,9.6,11.9494805555556,1,0
"Karlsbad","Tschechien :cz:",7.4,8,8.60828333333333,0,0.9
"Enschede","Niederlande :nl:",8.6,17.1,14.4864027777778,1,0
"Pilsen","Tschechien :cz:",7.6,8.9,11.3987944444444,0,0.9
"Maastricht","Niederlande :nl:",8.8,17,14.1277722222222,1,0
"Giethoorn","Niederlande :nl:",8.4,14.9,14.5394222222222,1,0
"Groningen","Niederlande :nl:",8.4,13.6,14.5870583333333,1,0
"Eindhoven","Niederlande :nl:",8.8,18.9,14.4158444444444,1,0
"Prag","Tschechien :cz:",7.6,9.6,9.75674444444444,0,0.6
"Luxemburg","Luxemburg :lu:",8.8,16.2,14.2589138888889,1,0
"Straßburg","Frankreich :fr:",8.4,11.7,12.4741666666667,0,0.3
"Amsterdam","Niederlande :nl:",8.6,15.9,14.5061138888889,1,0
"Dinant","Belgien :be:",8.8,17.7,14.1418,1,0
"Rotterdam","Niederlande :nl:",9,16.5,14.4604388888889,1,0
"Antwerpen","Belgien :be:",8.8,18.5,14.3752027777778,1,0
"Zandvoort","Niederlande :nl:",8.2,11.3,14.4995194444444,1,0
"Český Krumlov","Tschechien :cz:",7.6,8.7,12.7264666666667,0,1.2
"Terschelling","Niederlande :nl:",8.4,9.9,14.6008916666667,1,0
"Noordwijk","Niederlande :nl:",8.4,14.5,14.49295,1,0
"Bergen aan Zee","Niederlande :nl:",8.4,13.2,14.5260277777778,1,0
"Nancy","Frankreich :fr:",8,10.3,14.1846416666667,0,0.6
"Brüssel","Belgien :be:",8.8,18.2,14.257275,1,0
"Texel","Niederlande :nl:",8.4,11.6,14.5665,1,0
"Scheveningen","Niederlande :nl:",8.8,14.6,14.4798777777778,1,0
"Fåborg","Dänemark :dk:",7.4,10.8,9.07621111111111,0,0.8
"Salzburg","Österreich :at:",7,6.6,11.6561166666667,0,1.3
"Renesse","Niederlande :nl:",8.6,13.9,14.4412,1,0
"Linz","Österreich :at:",8.2,9.6,12.6831611111111,0,0.3
"Zürich","Schweiz :ch:",7.8,11.6,13.9485555555556,0,0.9
"Basel","Schweiz :ch:",8.4,11.8,14.0096638888889,1,0
"Innsbruck","Österreich :at:",6.2,8.8,13.4423805555556,0,0.9
"Domburg","Niederlande :nl:",8.6,14.9,14.3586916666667,1,0
"Breslau","Polen :pl:",7.8,8.7,11.4929944444444,0,0.3
"Køge","Dänemark :dk:",7.2,10.6,6.47952222222222,0,0.6
"Posen","Polen :pl:",7.8,8.7,10.035025,0,0.8
"Zell am See","Österreich :at:",5.5,6,13.8200166666667,0,0.7
"Brügge","Belgien :be:",8.8,17,14.2723333333333,1,0
"Hallstatt","Österreich :at:",4.4,6.4,13.18305,0,1.6
"Luzern","Schweiz :ch:",5.5,10.9,13.9222,0,1.2
"De Haan","Belgien :be:",8.8,15.2,14.2905944444444,1,0
"Ostende","Belgien :be:",8.8,15.9,14.1961972222222,1,0
"Kopenhagen","Dänemark :dk:",7,10.6,4.21411944444444,0,0.6
"Malmö","Schweden :se:",7.4,9.9,7.27322777777778,0,0.6
"Brünn","Tschechien :cz:",8.4,11.7,14.0510527777778,1,0
"Meran","Italien :it:",5.2,13.5,12.6715888888889,0,0
"Bern","Schweiz :ch:",8,10.4,13.8047388888889,0,0.3
"Bornholm","Dänemark :dk:",7.8,8.9,11.4527111111111,0,0.6
"Aarhus","Dänemark :dk:",7.2,11.5,2.62774722222222,1,0
"St. Moritz","Schweiz :ch:",4.8,0.2,13.6971333333333,0,0
"Hvide Sande","Dänemark :dk:",7.2,9.1,5.30553611111111,1,0
