"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"16.12.2025",8.2,5.5,6,0,0
"17.12.2025",8.2,7.4,6,0,0
"18.12.2025",8.2,10,5.40919444444444,0,0
"19.12.2025",8.2,10.2,6.31361666666667,0,0
"20.12.2025",6.6,7.1,1.62987222222222,0.1,0
"21.12.2025",7.8,6.6,6.05975555555556,0,0
"22.12.2025",6,4.1,0,0.9,0
"23.12.2025",6.8,5.5,0.118386111111111,0,0
"24.12.2025",7.6,2.8,6.36648055555556,0,0
"25.12.2025",7.4,1.3,5.39125555555556,0,0
"26.12.2025",7.4,0.4,6.40282777777778,0,0
