"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"10.03.2026",6.2,5.3,0,0.5,0
"11.03.2026",3.8,6.9,0,3.4,5
"12.03.2026",8,7.4,7.07438611111111,0,0
"13.03.2026",1.5,7.1,0,2.4,10
"14.03.2026",8,6.1,10.6427805555556,0,0
"15.03.2026",6.2,6.3,4.98465,1.8,0
"16.03.2026",7.6,5.2,8.65590555555556,0,0
"17.03.2026",8,7.3,8.31248055555556,0,0
"18.03.2026",7,6.4,7.81984722222222,2.2,0
"19.03.2026",7,5.7,9.52549166666667,2.6,0
"20.03.2026",7,6.3,8.28469444444445,2.1,0
