"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"13.04.2026",9.2,14.2,12.0356805555556,0,0
"14.04.2026",9,12.6,12.9032333333333,0,0
"15.04.2026",8.2,12.7,12.2000694444444,0.45,0
"16.04.2026",9.2,15.4,14.0084305555556,0,0
"17.04.2026",8.8,14.1,12.8296166666667,0,0
"18.04.2026",8.8,15.3,12.5107805555556,0.3,0
"19.04.2026",8,11.9,5.58239166666667,0,0
"20.04.2026",8.6,11.5,12.2332916666667,0,0
"21.04.2026",8.8,13.1,14.5564888888889,0,0
"22.04.2026",8.8,13.6,14.8588416666667,0,0
"23.04.2026",8.8,15.2,14.9440666666667,0,0
