"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"07.04.2026",9.4,17.8,12.0740833333333,0,0
"08.04.2026",8.8,18.3,11.8021222222222,0.6,0
"09.04.2026",9.4,18.4,12.139475,0,0
"10.04.2026",9,19.9,11.7454972222222,0.3,0
"11.04.2026",9.4,20.8,12.2498777777778,0.16,0
"12.04.2026",9.4,17.3,12.2350444444444,0,0
"13.04.2026",9.6,19.2,12.6338916666667,0,0
"14.04.2026",9.2,16.6,12.8237055555556,0,0
"15.04.2026",9.2,17.6,12.8553722222222,0,0
"16.04.2026",9.2,17.3,12.8869861111111,0,0
"17.04.2026",9.2,17.8,12.7874,0,0
