"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"20.04.2026",10,26.3,12,0,0
"21.04.2026",9.6,24.3,12,0,0
"22.04.2026",10,23.3,12,0,0
"23.04.2026",9.8,23.7,12,0,0
"24.04.2026",10,22.4,12.6927638888889,0,0
"25.04.2026",10,22,12.8537666666667,0,0
"26.04.2026",9.6,21.5,11.93545,0,0
"27.04.2026",9.8,22.4,13.0339027777778,0,0
"28.04.2026",9.8,22,13.0585027777778,0,0
"29.04.2026",9.6,21.7,13.0827916666667,0,0
"30.04.2026",9.8,22.4,12.8369,0,0
