"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"25.11.2025",1,1.5,0.0666,8.4,15
"26.11.2025",1,1.3,0,3.9,15
"27.11.2025",5.6,-0.4,5.02976944444444,0,1
"28.11.2025",8,1.3,7.72736944444444,0,0
"29.11.2025",7.2,3.3,6.4554,0,0
"30.11.2025",8,6.3,7.55069166666667,0,0
"01.12.2025",7.4,2.5,7.55784444444445,0,0
"02.12.2025",7.2,2.8,7.37579722222222,0,0
"03.12.2025",7.4,5.1,7.41680555555556,0,0
"04.12.2025",7.2,5.7,7.15993888888889,0.3,0
"05.12.2025",7.4,7.1,7.39937222222222,0,0
