"Datum","Score","Höchst&shy;temperatur","Sonnen&shy;stunden","Niederschlags&shy;menge in mm","Regen&shy;stunden"
"20.02.2026",9.4,18.9,10.055975,0,0
"21.02.2026",9.4,18.9,10.1040361111111,0,0
"22.02.2026",9.4,19.4,10.1537888888889,0,0
"23.02.2026",9.4,18,10.30205,0,0
"24.02.2026",8.4,15.9,7.06478055555556,0,0
"25.02.2026",6.4,14.8,3.15525,3.6,0
"26.02.2026",9.2,21.2,10.4125916666667,0,0
"27.02.2026",9.8,24.1,10.4490083333333,0,0
"28.02.2026",9,16.7,10.01425,0,0
"01.03.2026",8.8,17.5,10.5293555555556,0,0
"02.03.2026",9.4,20.1,10.5693194444444,0,0
